 "command";"executable";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (61.44%))";"branches";"branches (M/sec)";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (61.59%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle)";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle)";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_interconnect classic  -w 2 -t 4000000";"adevs_interconnect";2;4000000;2416.0;0.0003;9306799.0;1194.976;0.0;0.0;0.0;0.0;21667902.0;2.782;52495052.0;2.42;127.0;0.016;1911131.0;0.0882;4397446.0;0.2029;7.788273;0.974;0.007992339
"./build/Benchmark/adevs_interconnect classic  -w 2 -t 4000000";"adevs_interconnect";2;4000000;2230.0;0.0002;9300564.0;1211.909;0.0;0.0;0.0;0.0;21348628.0;2.782;52453528.0;2.46;122.0;0.016;1775312.0;0.0832;4254878.0;0.1993;7.674312;0.976;0.00786267
"./build/Benchmark/adevs_interconnect classic  -w 2 -t 4000000";"adevs_interconnect";2;4000000;2155.0;0.0002;9300016.0;1222.586;0.0;0.0;0.0;0.0;21160318.0;2.782;52456581.0;2.48;122.0;0.016;1746602.0;0.0825;3995988.0;0.1888;7.606841;0.976;0.007793492
"./build/Benchmark/adevs_interconnect classic  -w 2 -t 4000000";"adevs_interconnect";2;4000000;2249.0;0.0002;9302164.0;1210.293;0.0;0.0;0.0;0.0;21382818.0;2.782;52468693.0;2.45;123.0;0.016;1799868.0;0.0842;4297409.0;0.201;7.68588;0.975;0.007879557
"./build/Benchmark/adevs_interconnect classic  -w 2 -t 4000000";"adevs_interconnect";2;4000000;2251.0;0.0002;9308545.0;1202.101;0.0;0.0;0.0;0.0;21544675.0;2.782;52501738.0;2.44;125.0;0.016;1732254.0;0.08039999999999999;4458387.0;0.2069;7.74356;0.977;0.007923092
"./build/Benchmark/adevs_interconnect classic  -w 2 -t 4000000";"adevs_interconnect";2;4000000;2410.0;0.0003;9302973.0;1206.451;0.0;0.0;0.0;0.0;21451872.0;2.782;52467607.0;2.45;126.0;0.016;1820484.0;0.0849;4286201.0;0.1998;7.711027;0.976;0.007897219
"./build/Benchmark/adevs_interconnect classic  -w 2 -t 4000000";"adevs_interconnect";2;4000000;2622.0;0.0003;9303089.0;1187.652;0.0;0.0;0.0;0.0;21793649.0;2.782;52473061.0;2.41;122.0;0.016;1915473.0;0.08789999999999999;4578973.0;0.2101;7.833175;0.976;0.008022869
"./build/Benchmark/adevs_interconnect classic  -w 2 -t 4000000";"adevs_interconnect";2;4000000;2306.0;0.0002;9307040.0;1211.443;0.0;0.0;0.0;0.0;21373934.0;2.782;52492116.0;2.46;124.0;0.016;1821732.0;0.0852;4318439.0;0.20199999999999999;7.682604;0.977;0.007866861
"./build/Benchmark/adevs_interconnect classic  -w 2 -t 4000000";"adevs_interconnect";2;4000000;2292.0;0.0002;9306576.0;1203.853;0.0;0.0;0.0;0.0;21508363.0;2.782;52495016.0;2.44;127.0;0.016;1840342.0;0.08560000000000001;4372473.0;0.20329999999999998;7.730659;0.975;0.007925162
"./build/Benchmark/adevs_interconnect classic  -w 2 -t 4000000";"adevs_interconnect";2;4000000;2773.0;0.0003;9306666.0;1192.591;0.0;0.0;0.0;0.0;21712936.0;2.782;52492360.0;2.42;126.0;0.016;1929721.0;0.0889;4542409.0;0.20920000000000002;7.803737;0.976;0.007997392
