 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (72.30%))";"branches";"branches (M/sec                    (86.17%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (85.73%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (72.35%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (86.18%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;474107.0;0.0227;20887544.0;913.138;0.0;0.0;1.0;0.044;55854387.0;2.442;111251832.0;1.99;122.0;0.005;8796931.0;0.1575;15193339.0;0.272;22.874461;0.99;0.023109514
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;492037.0;0.023399999999999997;21028544.0;956.217;0.0;0.0;0.0;0.0;58542170.0;2.662;112951845.0;1.93;126.0;0.006;9180174.0;0.1568;15677072.0;0.26780000000000004;21.991382;0.99;0.022212131
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;475051.0;0.0225;21067488.0;966.973;0.0;0.0;1.0;0.046;58548004.0;2.687;112340024.0;1.92;124.0;0.006;8693928.0;0.1485;14875432.0;0.2541;21.787059;0.99;0.02200837
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;495628.0;0.0236;21038012.0;957.744;0.0;0.0;0.0;0.0;58544795.0;2.665;112870603.0;1.93;125.0;0.006;9098455.0;0.15539999999999998;15456795.0;0.264;21.966208;0.992;0.02214994
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;439015.0;0.0209;20976495.0;982.48;0.0;0.0;0.0;0.0;58543447.0;2.742;112967657.0;1.93;127.0;0.006;8438182.0;0.1441;14818644.0;0.2531;21.350557;0.992;0.021522433
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;441010.0;0.0209;21097885.0;978.484;0.0;0.0;0.0;0.0;58542501.0;2.715;112478185.0;1.92;125.0;0.006;8865789.0;0.1514;15153981.0;0.2589;21.561805;0.992;0.021732684
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;427976.0;0.0204;21003551.0;985.032;0.0;0.0;0.0;0.0;58543004.0;2.746;112840800.0;1.93;126.0;0.006;8353743.0;0.1427;14847025.0;0.2536;21.322706;0.992;0.021500372
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;405443.0;0.019299999999999998;21028554.0;989.991;0.0;0.0;0.0;0.0;58545917.0;2.756;112769710.0;1.93;127.0;0.006;8281160.0;0.1414;14815485.0;0.2531;21.241157;0.992;0.021416082
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;414377.0;0.0197;21051007.0;980.713;0.0;0.0;0.0;0.0;58545317.0;2.727;113005878.0;1.93;126.0;0.006;8297924.0;0.1417;15452682.0;0.2639;21.464992;0.992;0.021637555
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;419448.0;0.02;20989178.0;978.742;0.0;0.0;0.0;0.0;58546751.0;2.73;112613328.0;1.92;122.0;0.006;8301689.0;0.1418;14838433.0;0.2534;21.44506;0.992;0.021611188
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;420914.0;0.020099999999999996;20981484.0;979.01;0.0;0.0;0.0;0.0;58542153.0;2.732;112836808.0;1.93;126.0;0.006;8346921.0;0.1426;15022891.0;0.2566;21.43133;0.992;0.021614147
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;492795.0;0.023399999999999997;21074717.0;968.359;0.0;0.0;0.0;0.0;58542760.0;2.69;112983695.0;1.93;123.0;0.006;8955380.0;0.153;15231569.0;0.2602;21.763337;0.992;0.021935947
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;480959.0;0.022799999999999997;21050190.0;955.622;0.0;0.0;0.0;0.0;58544208.0;2.658;112327880.0;1.92;127.0;0.006;9221021.0;0.1575;15728495.0;0.2687;22.027733;0.989;0.02227089
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;491753.0;0.0233;21066696.0;950.257;0.0;0.0;0.0;0.0;58539881.0;2.641;112743283.0;1.93;127.0;0.006;9507065.0;0.1624;16342997.0;0.2792;22.169475;0.992;0.022339827
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;495178.0;0.0235;21068299.0;957.822;0.0;0.0;0.0;0.0;58545838.0;2.662;112898976.0;1.93;126.0;0.006;9009644.0;0.1539;15572635.0;0.266;21.996058;0.992;0.02216577
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;514226.0;0.024399999999999998;21036844.0;956.202;0.0;0.0;0.0;0.0;58546772.0;2.661;113109327.0;1.93;127.0;0.006;8775915.0;0.1499;14895506.0;0.2544;22.000415;0.992;0.022170202
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;476777.0;0.0226;21062973.0;962.969;0.0;0.0;0.0;0.0;58542651.0;2.676;112947981.0;1.93;121.0;0.006;9039040.0;0.15439999999999998;15474248.0;0.2643;21.872942;0.992;0.022056311
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;454821.0;0.0217;20975544.0;966.36;0.0;0.0;0.0;0.0;58544145.0;2.697;112580444.0;1.92;127.0;0.006;8480224.0;0.1449;14878526.0;0.2541;21.705722;0.99;0.021921107
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;425877.0;0.0203;21021845.0;986.753;0.0;0.0;0.0;0.0;58542301.0;2.748;112831550.0;1.93;127.0;0.006;8407557.0;0.1436;14948304.0;0.2553;21.304068;0.992;0.021477649
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;427103.0;0.0203;21024915.0;945.307;0.0;0.0;0.0;0.0;58543007.0;2.632;113009695.0;1.93;124.0;0.006;9447310.0;0.16140000000000002;16315254.0;0.2787;22.241367;0.992;0.02241369
