 "command";"executable";"nodes";"atomics/node";"iterations";"% remotes";"end time" ;"branch-misses";"branch-misses (of all branches          (83.33%))";"branches";"branches (M/sec                    (83.35%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (83.35%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (66.70%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (83.35%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2868280.0;0.0036;788798449.0;767.216;1.0;0.001;0.0;0.0;2863507712.0;2.785;5546718519.0;1.94;131.0;0.127;349145477.0;0.1219;954905959.0;0.3335;1028.131479;1.001;1.027284124
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2866663.0;0.0036;788039832.0;762.937;1.0;0.001;0.0;0.0;2853790788.0;2.763;5543829222.0;1.94;125.0;0.121;347418835.0;0.1217;953656996.0;0.3342;1032.902816;1.001;1.032260586
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2867199.0;0.0036;788463213.0;765.933;2.0;0.002;0.0;0.0;2861131608.0;2.779;5545318241.0;1.94;124.0;0.12;347626448.0;0.1215;953457420.0;0.3332;1029.415352;1.001;1.028593937
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2864203.0;0.0036;787992714.0;783.249;1.0;0.001;0.0;0.0;2862554733.0;2.845;5541296836.0;1.94;128.0;0.127;347547065.0;0.12140000000000001;954028700.0;0.3333;1006.05604;1.001;1.005377931
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2861805.0;0.0036;788139796.0;757.985;2.0;0.002;0.0;0.0;2861273027.0;2.752;5539577324.0;1.94;128.0;0.123;346515951.0;0.1211;952998974.0;0.3331;1039.78269;1.001;1.039124261
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2862842.0;0.0036;788066137.0;759.688;1.0;0.001;0.0;0.0;2862446170.0;2.759;5542139823.0;1.94;131.0;0.126;346867487.0;0.12119999999999999;953561219.0;0.3331;1037.354895;1.001;1.036643583
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2862025.0;0.0036;787966684.0;766.309;2.0;0.002;0.0;0.0;2861734850.0;2.783;5541997061.0;1.94;128.0;0.124;346804132.0;0.12119999999999999;952728239.0;0.3329;1028.262806;1.001;1.027647921
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2873077.0;0.0037;786221078.0;752.759;1.0;0.001;0.0;0.0;2864354952.0;2.742;5542284391.0;1.93;130.0;0.124;348511073.0;0.1217;955906325.0;0.3337;1044.452378;1.001;1.043780374
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2872808.0;0.0036;788828039.0;766.562;1.0;0.001;0.0;0.0;2866058564.0;2.785;5546636328.0;1.94;128.0;0.124;348691876.0;0.1217;957936023.0;0.3342;1029.046184;1.001;1.028175096
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2861982.0;0.0036;788585508.0;763.571;1.0;0.001;0.0;0.0;2852497324.0;2.762;5545917043.0;1.94;125.0;0.121;347349150.0;0.12179999999999999;952171022.0;0.33380000000000004;1032.759374;1.001;1.032010006
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2862872.0;0.0036;786681293.0;766.129;1.0;0.001;0.0;0.0;2859838808.0;2.785;5546572869.0;1.94;125.0;0.122;347637786.0;0.1216;952416077.0;0.33299999999999996;1026.826098;1.001;1.025965116
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2871666.0;0.0036;788878165.0;772.01;1.0;0.001;0.0;0.0;2860423682.0;2.799;5543059245.0;1.94;130.0;0.127;347252454.0;0.12140000000000001;952919081.0;0.3331;1021.849667;1.001;1.021013063
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2862526.0;0.0036;788705263.0;819.28;1.0;0.001;0.0;0.0;2861242059.0;2.972;5545782222.0;1.94;126.0;0.131;347359006.0;0.12140000000000001;951730670.0;0.3326;962.680567;1.001;0.961909588
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2861369.0;0.0036;788677266.0;837.333;2.0;0.002;0.0;0.0;2854298966.0;3.03;5546294444.0;1.94;127.0;0.135;347339577.0;0.1217;952768880.0;0.33380000000000004;941.892513;1.001;0.941147403
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2864123.0;0.0036;786504406.0;753.273;1.0;0.001;0.0;0.0;2864212164.0;2.743;5542012141.0;1.93;128.0;0.123;348863356.0;0.12179999999999999;955789426.0;0.3337;1044.116611;1.001;1.043418466
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2862244.0;0.0036;787933253.0;752.106;1.0;0.001;0.0;0.0;2863885699.0;2.734;5543757706.0;1.94;128.0;0.122;347880073.0;0.1215;954871294.0;0.33340000000000003;1047.635653;1.001;1.046926761
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2867725.0;0.0036;788302446.0;784.618;7.0;0.007;1.0;0.001;2864768811.0;2.851;5535329431.0;1.93;126.0;0.125;348477516.0;0.1216;956729247.0;0.33399999999999996;1004.695261;1.0;1.004280214
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2862559.0;0.0036;786603411.0;765.973;1.0;0.001;0.0;0.0;2860113252.0;2.785;5546548925.0;1.94;124.0;0.121;347598374.0;0.1215;952740547.0;0.3331;1026.933703;1.001;1.026068928
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2867426.0;0.0036;787355228.0;781.832;4.0;0.004;1.0;0.001;2864982211.0;2.845;5543953786.0;1.94;130.0;0.129;349527974.0;0.122;956527730.0;0.33390000000000003;1007.064193;1.001;1.006497794
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2860641.0;0.0036;788017477.0;774.425;1.0;0.001;0.0;0.0;2861184179.0;2.812;5542023822.0;1.94;127.0;0.125;344389296.0;0.1204;949575429.0;0.3319;1017.552207;1.001;1.016883386
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2859654.0;0.0036;786571649.0;765.919;1.0;0.001;0.0;0.0;2860235612.0;2.785;5546691705.0;1.94;126.0;0.123;347567010.0;0.1215;953193156.0;0.3333;1026.965086;1.001;1.026131482
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2865573.0;0.0036;788131336.0;763.957;1.0;0.001;0.0;0.0;2858682808.0;2.771;5543075976.0;1.94;129.0;0.125;347125070.0;0.12140000000000001;953301777.0;0.3335;1031.643645;1.001;1.030910782
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2859800.0;0.0036;788818386.0;767.981;2.0;0.002;0.0;0.0;2860691742.0;2.785;5546528495.0;1.94;127.0;0.124;347675743.0;0.1215;953484762.0;0.3333;1027.132187;1.001;1.02631001
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2861564.0;0.0036;788699359.0;804.842;1.0;0.001;0.0;0.0;2862522161.0;2.921;5546279579.0;1.94;130.0;0.133;348967522.0;0.1219;954030011.0;0.3333;979.942777;1.001;0.979153118
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2852306.0;0.0036;788547680.0;779.246;1.0;0.001;0.0;0.0;2864284586.0;2.83;5545563414.0;1.94;128.0;0.126;349589838.0;0.12210000000000001;956936242.0;0.33409999999999995;1011.936628;1.001;1.011112274
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2863760.0;0.0036;788783762.0;818.752;1.0;0.001;0.0;0.0;2860664037.0;2.969;5546323812.0;1.94;130.0;0.135;347702621.0;0.1215;951195171.0;0.3325;963.397934;1.001;0.962623226
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2878568.0;0.0037;786503197.0;765.791;1.0;0.001;0.0;0.0;2860482771.0;2.785;5546635300.0;1.94;127.0;0.124;347700500.0;0.1216;953169677.0;0.3332;1027.047004;1.001;1.02622372
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2864665.0;0.0036;788722829.0;833.203;2.0;0.002;0.0;0.0;2860998761.0;3.022;5546382921.0;1.94;129.0;0.136;347176873.0;0.1213;953861063.0;0.33340000000000003;946.61506;1.001;0.945872456
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2863421.0;0.0036;788608672.0;841.036;2.0;0.002;0.0;0.0;2861439747.0;3.052;5546734308.0;1.94;130.0;0.139;348468385.0;0.12179999999999999;953926094.0;0.33340000000000003;937.663948;1.001;0.936934935
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2869725.0;0.0036;788806963.0;767.542;1.0;0.001;0.0;0.0;2862257045.0;2.785;5546751384.0;1.94;127.0;0.124;348674777.0;0.12179999999999999;954762745.0;0.3336;1027.705611;1.001;1.026850135
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2868323.0;0.0036;788690455.0;819.4;1.0;0.001;0.0;0.0;2861136399.0;2.973;5545869236.0;1.94;126.0;0.131;347586106.0;0.1215;951904075.0;0.33270000000000005;962.522245;1.001;0.96175371
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2879876.0;0.0037;788678781.0;799.938;1.0;0.001;0.0;0.0;2930304152.0;2.972;5541364760.0;1.89;125.0;0.127;349407494.0;0.1192;1132483655.0;0.3865;985.92494;1.001;0.985126322
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2860939.0;0.0036;786476628.0;808.489;2.0;0.002;0.0;0.0;2888699137.0;2.97;5546331996.0;1.92;127.0;0.131;359498751.0;0.1245;975042999.0;0.3375;972.773201;1.001;0.971996362
