 "command";"executable";"simtype";"ncores";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (50.01%))";"branches";"branches (M/sec                    (50.93%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.89%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (51.37%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (51.40%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;722518.0;0.0129;55978468.0;1002.839;6.0;0.107;0.0;0.0;176606472.0;3.164;311032555.0;1.76;416.0;0.007;45259859.0;0.2563;6944897.0;0.0393;55.819996;0.993;0.056204453
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;782863.0;0.013999999999999999;55913820.0;985.309;29.0;0.511;0.0;0.0;182945078.0;3.224;316572734.0;1.73;420.0;0.007;42328669.0;0.2314;8371838.0;0.0458;56.747472;0.98;0.057877088
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;799695.0;0.0144;55682200.0;964.984;6.0;0.104;0.0;0.0;181272116.0;3.141;316738866.0;1.75;418.0;0.007;51155915.0;0.2822;8354142.0;0.0461;57.702714;0.992;0.05818621
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;751175.0;0.0138;54259528.0;997.042;8.0;0.147;0.0;0.0;184066549.0;3.382;299704953.0;1.63;420.0;0.008;47275234.0;0.2568;7703400.0;0.04190000000000001;54.420531;0.992;0.054857097
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;753066.0;0.013600000000000001;55265374.0;989.577;6.0;0.107;0.0;0.0;177397573.0;3.176;316289112.0;1.78;417.0;0.007;45501175.0;0.2565;7436338.0;0.04190000000000001;55.847475;0.992;0.056321314
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;702717.0;0.0132;53265760.0;964.393;8.0;0.145;0.0;0.0;180920783.0;3.276;314233466.0;1.74;419.0;0.008;45567246.0;0.2519;7136539.0;0.0394;55.232421;0.992;0.055690393
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;903011.0;0.016399999999999998;55109241.0;918.829;6.0;0.1;0.0;0.0;202065732.0;3.369;305838413.0;1.51;417.0;0.007;57413046.0;0.2841;9160450.0;0.0453;59.97766;0.989;0.060675417
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;889802.0;0.0159;55898071.0;992.697;6.0;0.107;0.0;0.0;183620812.0;3.261;313691657.0;1.71;418.0;0.007;45005327.0;0.2451;9630522.0;0.0524;56.309289;0.983;0.057305052
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;802234.0;0.0144;55883578.0;1072.233;5.0;0.096;0.0;0.0;184577319.0;3.541;313100553.0;1.7;420.0;0.008;45113197.0;0.2444;6620922.0;0.0359;52.118879;0.991;0.052576416
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;703734.0;0.0128;54833840.0;1005.107;5.0;0.092;0.0;0.0;188519634.0;3.456;300303894.0;1.59;423.0;0.008;54854460.0;0.29100000000000004;7293709.0;0.0387;54.555231;0.992;0.054972081
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;831225.0;0.0152;54566839.0;973.582;29.0;0.517;0.0;0.0;181684725.0;3.242;313730985.0;1.73;421.0;0.008;47417973.0;0.261;9160199.0;0.0504;56.047495;0.981;0.057107752
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;670198.0;0.0128;52452112.0;953.377;6.0;0.109;0.0;0.0;184365795.0;3.351;309123222.0;1.68;420.0;0.008;46754476.0;0.2536;6814042.0;0.037000000000000005;55.017204;0.991;0.055509377
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;768146.0;0.013999999999999999;54821135.0;979.433;6.0;0.107;0.0;0.0;184208103.0;3.291;309935773.0;1.68;417.0;0.007;47757596.0;0.2593;8659702.0;0.047;55.972325;0.99;0.056544568
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;852114.0;0.0155;54978982.0;1016.588;6.0;0.111;0.0;0.0;184160254.0;3.405;306970664.0;1.67;420.0;0.008;46223424.0;0.251;9213517.0;0.05;54.081859;0.99;0.05464417
"./build/Benchmark/adevs_interconnect classic  -w 8 -t 4000000";"adevs_interconnect";"classic";1;8;4000000;709587.0;0.0134;53051566.0;955.171;6.0;0.108;0.0;0.0;183801197.0;3.309;311458564.0;1.69;417.0;0.008;46704506.0;0.2541;7984260.0;0.0434;55.541412;0.989;0.056133554
