 "command";"executable";"simtype";"ncores";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (50.10%))";"branches";"branches (M/sec                    (49.86%))";"context-switches";"context-switches (M/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (49.97%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (49.92%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.19%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;98727900.0;0.0279;3539828537.0;594.256;135056.0;0.023;77.0;0.013;20442524145.0;3.432;15673609315.0;0.77;554.0;0.093;8558992878.0;0.41869999999999996;3483444554.0;0.1704;5956.73758;1.728;3.446305115
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;99160838.0;0.028300000000000002;3497751221.0;588.003;139788.0;0.023;79.0;0.013;20418854279.0;3.433;15484696090.0;0.76;609.0;0.102;8502512987.0;0.4164;3643346955.0;0.1784;5948.528594;1.723;3.452203422
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;101668140.0;0.0282;3609480533.0;590.129;181464.0;0.03;51.0;0.008;21109713193.0;3.451;16031608502.0;0.76;573.0;0.094;8636695069.0;0.40909999999999996;3859353361.0;0.18280000000000002;6116.4229;1.679;3.642588834
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;99278598.0;0.0287;3460546700.0;590.037;141679.0;0.024;62.0;0.011;20253506502.0;3.453;15354146686.0;0.76;575.0;0.098;8512030967.0;0.4203;3498812613.0;0.1728;5864.969887;1.721;3.407450223
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;99361673.0;0.0277;3587468692.0;591.309;153632.0;0.025;66.0;0.011;20901336728.0;3.445;15914535641.0;0.76;543.0;0.09;8706051748.0;0.4165;3663532313.0;0.1753;6066.99214;1.706;3.555505241
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;101318283.0;0.028900000000000002;3510118511.0;599.809;149558.0;0.026;48.0;0.008;20401074009.0;3.486;15564608683.0;0.76;661.0;0.113;8570929330.0;0.4201;3465989705.0;0.1699;5852.061437;1.711;3.419704962
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;100041387.0;0.0281;3562278325.0;586.611;163778.0;0.027;53.0;0.009;21033784522.0;3.464;15797657732.0;0.75;565.0;0.093;8659213238.0;0.4117;3804808802.0;0.1809;6072.645474;1.698;3.575572894
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;96989473.0;0.028399999999999998;3421049381.0;607.171;108755.0;0.019;50.0;0.009;19581238848.0;3.475;15151640153.0;0.77;567.0;0.101;8497776595.0;0.434;3100344721.0;0.1583;5634.407577;1.762;3.196990246
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;101825924.0;0.0291;3502380753.0;596.558;136622.0;0.023;93.0;0.016;20357701696.0;3.468;15512619080.0;0.76;631.0;0.107;8273476362.0;0.4064;3834112935.0;0.1883;5870.984138;1.726;3.400885878
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;98771537.0;0.028999999999999998;3406656281.0;592.813;131060.0;0.023;21.0;0.004;20065494385.0;3.492;15181358016.0;0.76;630.0;0.11;8504709270.0;0.4238;3484575170.0;0.17370000000000002;5746.593198;1.749;3.285874081
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;97449615.0;0.0294;3315277165.0;608.332;132447.0;0.024;7.0;0.001;19184963560.0;3.52;14821246448.0;0.77;755.0;0.139;8128674725.0;0.42369999999999997;3132686007.0;0.16329999999999997;5449.778787;1.75;3.114990948
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;101072103.0;0.030899999999999997;3276103106.0;611.555;119830.0;0.022;4.0;0.001;18885290641.0;3.525;14668377397.0;0.78;593.0;0.111;7817794262.0;0.414;3271321121.0;0.1732;5357.006855;1.77;3.026336311
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;101893938.0;0.028900000000000002;3524630068.0;588.882;195086.0;0.033;11.0;0.002;20827893876.0;3.48;15716464314.0;0.75;721.0;0.12;8528189931.0;0.40950000000000003;3735707438.0;0.1794;5985.291288;1.681;3.559973107
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;99877132.0;0.029900000000000003;3344927814.0;609.215;147745.0;0.027;9.0;0.002;19266865597.0;3.509;14991564202.0;0.78;552.0;0.101;7910630248.0;0.4106;3297418069.0;0.1711;5490.550155;1.727;3.179856759
"./build/Benchmark/adevs_interconnect cpdevs -c 2  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";2;8;4000000;101236370.0;0.0288;3510093520.0;603.61;179190.0;0.031;15.0;0.003;20297286380.0;3.49;15632189658.0;0.77;501.0;0.086;8309023675.0;0.4094;3477571065.0;0.17129999999999998;5815.166983;1.697;3.427069238
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;128011613.0;0.0163;7841376189.0;718.218;280901.0;0.026;922.0;0.084;34004667263.0;3.115;30178635512.0;0.89;830.0;0.076;12169817475.0;0.3579;6138187678.0;0.1805;10917.82421;2.45;4.456007567
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;126598819.0;0.0173;7297231352.0;664.337;283184.0;0.026;819.0;0.075;34291442526.0;3.122;28550530239.0;0.83;812.0;0.074;12342665418.0;0.3599;6782903428.0;0.1978;10984.229469;2.46;4.464273872
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;131822638.0;0.0171;7695244714.0;683.769;293066.0;0.026;927.0;0.082;34359191051.0;3.053;29920997722.0;0.87;891.0;0.079;12195819699.0;0.355;6539860193.0;0.19030000000000002;11254.158038;2.445;4.603780039
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;126239924.0;0.0177;7126055444.0;663.398;281908.0;0.026;681.0;0.063;33663230767.0;3.134;27889102305.0;0.83;814.0;0.076;12055257075.0;0.35810000000000003;6907652055.0;0.2052;10741.7478;2.464;4.359385928
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;126760482.0;0.0168;7526737822.0;689.878;290169.0;0.027;861.0;0.079;33807671830.0;3.099;29263200966.0;0.87;797.0;0.073;12199326785.0;0.3608;6182306823.0;0.18289999999999998;10910.246353;2.444;4.464718389
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;129076655.0;0.0177;7282930428.0;676.375;282976.0;0.026;692.0;0.064;34012017671.0;3.159;28400680318.0;0.84;801.0;0.074;12495146521.0;0.3674;6508539816.0;0.19140000000000001;10767.600027;2.46;4.377472317
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;127992062.0;0.0171;7473597166.0;677.92;285128.0;0.026;821.0;0.074;34160932680.0;3.099;29026683989.0;0.85;820.0;0.074;12193903815.0;0.35700000000000004;6705314003.0;0.1963;11024.313131;2.459;4.483250984
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;129369538.0;0.0172;7500284598.0;695.159;272808.0;0.025;927.0;0.086;34218478908.0;3.172;29141196521.0;0.85;795.0;0.074;12105711433.0;0.3538;6613808308.0;0.19329999999999997;10789.310682;2.451;4.401623151
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;127547708.0;0.0165;7718270448.0;687.913;289742.0;0.026;993.0;0.089;34492116631.0;3.074;30007678008.0;0.87;833.0;0.074;11870228334.0;0.34409999999999996;6810070429.0;0.1974;11219.83383;2.44;4.597703483
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;131271502.0;0.0182;7222144979.0;666.936;292787.0;0.027;588.0;0.054;34831035453.0;3.217;28195716136.0;0.81;785.0;0.072;12839391698.0;0.3686;6813358738.0;0.1956;10828.850517;2.459;4.403515038
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;124389140.0;0.0199;6248224883.0;691.076;281944.0;0.031;20.0;0.002;31597757353.0;3.495;25086958716.0;0.79;818.0;0.09;12479257206.0;0.39490000000000003;5554180431.0;0.17579999999999998;9041.299704;2.479;3.647330024
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;126860316.0;0.02;6344157043.0;683.96;294149.0;0.032;37.0;0.004;32172159918.0;3.468;25423865124.0;0.79;814.0;0.088;12721281077.0;0.3954;5795354430.0;0.1801;9275.622369;2.458;3.772975081
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;124874278.0;0.0202;6177596903.0;677.019;282774.0;0.031;22.0;0.002;31776444860.0;3.482;24862709555.0;0.78;823.0;0.09;12423182056.0;0.391;5923401082.0;0.1864;9124.706629;2.477;3.684038468
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;121879357.0;0.0197;6182555973.0;666.357;289873.0;0.031;38.0;0.004;32169400720.0;3.467;24863803632.0;0.77;812.0;0.088;12455961018.0;0.3872;6221945138.0;0.1934;9278.142601;2.473;3.751259191
"./build/Benchmark/adevs_interconnect cpdevs -c 3  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";3;8;4000000;121211974.0;0.0197;6145996247.0;669.602;286559.0;0.031;31.0;0.003;31893840722.0;3.475;24745737118.0;0.78;813.0;0.089;12472134646.0;0.3911;6047346254.0;0.18960000000000002;9178.586206;2.479;3.703100933
"./build/Benchmark/adevs_interconnect cpdevs -c 4  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";4;8;4000000;171551108.0;0.0124;13789797358.0;775.455;497710.0;0.028;1504.0;0.085;57894594867.0;3.256;48211273822.0;0.83;567.0;0.032;19976719794.0;0.34509999999999996;12084029012.0;0.2087;17782.846864;3.159;5.628840946
"./build/Benchmark/adevs_interconnect cpdevs -c 4  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";4;8;4000000;170221111.0;0.0134;12722530223.0;736.064;496802.0;0.029;1336.0;0.077;56295166847.0;3.257;45054280952.0;0.8;552.0;0.032;20264285222.0;0.36;11683749748.0;0.2075;17284.537564;3.179;5.436364322
"./build/Benchmark/adevs_interconnect cpdevs -c 4  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";4;8;4000000;170808892.0;0.0129;13208475670.0;762.404;504005.0;0.029;1481.0;0.085;56172167581.0;3.242;46262821028.0;0.82;554.0;0.032;20212615373.0;0.35979999999999995;11043001815.0;0.1966;17324.762781;3.167;5.470447535
"./build/Benchmark/adevs_interconnect cpdevs -c 4  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";4;8;4000000;170679338.0;0.013000000000000001;13150500880.0;752.19;493530.0;0.028;1413.0;0.081;57253856065.0;3.275;46305212555.0;0.81;565.0;0.032;20104040997.0;0.35109999999999997;12276290150.0;0.2144;17482.950387;3.165;5.523804222
"./build/Benchmark/adevs_interconnect cpdevs -c 4  -w 8 -t 4000000";"adevs_interconnect";"cpdevs";4;8;4000000;173349404.0;0.012199999999999999;14182452047.0;781.854;509059.0;0.028;1752.0;0.097;59000439084.0;3.253;49364828277.0;0.84;561.0;0.031;20429305834.0;0.34630000000000005;11947837294.0;0.2025;18139.521183;3.151;5.756073896
