 "command";"executable";"simtype";"ncores";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (49.40%))";"branches";"branches (M/sec                    (50.13%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (49.14%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.98%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.62%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;4586903.0;0.0345;133142809.0;992.685;14.0;0.104;0.0;0.0;459135823.0;3.423;682012239.0;1.49;497.0;0.004;92915317.0;0.2024;43939695.0;0.09570000000000001;134.123959;0.994;0.134960278
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;4705275.0;0.0349;134831104.0;1005.809;13.0;0.097;0.0;0.0;457919559.0;3.416;690229667.0;1.51;496.0;0.004;94038488.0;0.2054;42717777.0;0.0933;134.052344;0.993;0.134930283
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;5193031.0;0.0387;134113166.0;941.35;15.0;0.105;0.0;0.0;497503996.0;3.492;693144672.0;1.39;500.0;0.004;120111087.0;0.2414;46789419.0;0.094;142.469045;0.995;0.14325152
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;4820358.0;0.0361;133598758.0;980.869;16.0;0.117;0.0;0.0;471494587.0;3.462;682372108.0;1.45;497.0;0.004;96097290.0;0.20379999999999998;43423055.0;0.09210000000000002;136.20444;0.994;0.137000782
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;5093167.0;0.0388;131254818.0;945.259;14.0;0.101;0.0;0.0;476674329.0;3.433;687958971.0;1.44;499.0;0.004;97994800.0;0.20559999999999998;50987099.0;0.107;138.85588;0.994;0.139674793
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;4706904.0;0.0353;133487498.0;989.036;14.0;0.104;0.0;0.0;458951054.0;3.4;683594757.0;1.49;500.0;0.004;93281555.0;0.2032;44807544.0;0.09759999999999999;134.967333;0.994;0.135744817
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;5132708.0;0.0385;133188198.0;971.452;13.0;0.095;0.0;0.0;475775834.0;3.47;676155226.0;1.42;499.0;0.004;95862798.0;0.20149999999999998;46350009.0;0.0974;137.10221;0.995;0.137757876
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;4701750.0;0.0354;132773309.0;1007.785;13.0;0.099;0.0;0.0;462462221.0;3.51;678450820.0;1.47;497.0;0.004;92610492.0;0.2003;44065979.0;0.0953;131.747677;0.996;0.132254874
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;5106061.0;0.0382;133737550.0;989.386;13.0;0.096;0.0;0.0;462163478.0;3.419;693176397.0;1.5;497.0;0.004;95241482.0;0.2061;48076971.0;0.10400000000000001;135.172253;0.994;0.135962954
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;4745996.0;0.0355;133662337.0;983.742;14.0;0.103;0.0;0.0;472488187.0;3.477;683227459.0;1.45;499.0;0.004;96797624.0;0.20489999999999997;43073408.0;0.09119999999999999;135.871342;0.997;0.136324372
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;5219850.0;0.039;133864409.0;975.94;14.0;0.102;0.0;0.0;475522048.0;3.467;680538425.0;1.43;499.0;0.004;95930624.0;0.20170000000000002;48401312.0;0.1018;137.164533;0.994;0.138001928
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;4728654.0;0.0356;132965917.0;973.339;14.0;0.102;0.0;0.0;473974071.0;3.47;675280282.0;1.42;499.0;0.004;96626575.0;0.2039;44692970.0;0.0943;136.608004;0.994;0.137441894
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;4607820.0;0.0352;130726925.0;983.775;15.0;0.113;0.0;0.0;465110469.0;3.5;684550349.0;1.47;501.0;0.004;98576673.0;0.2119;41936526.0;0.0902;132.882966;0.995;0.133611737
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;4792599.0;0.0356;134732215.0;992.721;14.0;0.103;0.0;0.0;457865163.0;3.374;690503346.0;1.51;498.0;0.004;90902959.0;0.1985;46896059.0;0.1024;135.720065;0.994;0.136516841
"./build/Benchmark/adevs_devstone classic  -w 10 -d 10 -t 500000";"adevs_devstone";"classic";1;10;10;500000;5254207.0;0.0393;133798326.0;985.601;14.0;0.103;0.0;0.0;474945768.0;3.499;687390901.0;1.45;501.0;0.004;90102699.0;0.18969999999999998;49393527.0;0.10400000000000001;135.752997;0.995;0.136469526
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;18659423.0;0.0466;400184942.0;891.942;45.0;0.1;0.0;0.0;1594833315.0;3.555;2104048029.0;1.32;627.0;0.001;393762441.0;0.2469;162379478.0;0.1018;448.666811;0.999;0.448935809
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;19328599.0;0.0482;400996764.0;883.241;50.0;0.11;0.0;0.0;1603843403.0;3.533;2106869949.0;1.31;630.0;0.001;396756368.0;0.24739999999999998;174621682.0;0.10890000000000001;454.006255;0.999;0.454570483
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;18998336.0;0.0475;399840705.0;887.655;47.0;0.104;0.0;0.0;1609598401.0;3.573;2099859930.0;1.3;627.0;0.001;400970932.0;0.2491;172891933.0;0.1074;450.446033;0.999;0.450795699
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;19767704.0;0.0493;401047954.0;881.292;46.0;0.101;0.0;0.0;1622944204.0;3.566;2107263096.0;1.3;624.0;0.001;395469414.0;0.2437;180134724.0;0.111;455.068251;0.999;0.455416513
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;19820427.0;0.049400000000000006;401257457.0;881.157;45.0;0.099;0.0;0.0;1615704711.0;3.548;2109470691.0;1.31;626.0;0.001;401761893.0;0.2487;172396797.0;0.1067;455.375431;0.999;0.455704585
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;18688603.0;0.0467;400565458.0;895.573;46.0;0.103;0.0;0.0;1602307579.0;3.582;2108195793.0;1.32;624.0;0.001;409089816.0;0.2553;166409480.0;0.1039;447.272807;1.0;0.44727792
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;18628397.0;0.04650000000000001;400710525.0;888.763;47.0;0.104;0.0;0.0;1607478975.0;3.565;2101297340.0;1.31;627.0;0.001;404191727.0;0.2514;166402955.0;0.1035;450.863056;0.999;0.451237952
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;18835411.0;0.0471;399539620.0;880.392;47.0;0.104;0.0;0.0;1610045707.0;3.548;2106002532.0;1.31;627.0;0.001;401657096.0;0.2495;169353033.0;0.1052;453.820386;0.999;0.454184355
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;19739721.0;0.049400000000000006;399634337.0;886.546;46.0;0.102;0.0;0.0;1617369377.0;3.588;2099732606.0;1.3;626.0;0.001;392291109.0;0.2425;181308066.0;0.1121;450.776526;1.0;0.450839744
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;18834200.0;0.0473;398270941.0;871.755;46.0;0.101;0.0;0.0;1626764381.0;3.561;2102762090.0;1.29;623.0;0.001;423484130.0;0.26030000000000003;165382128.0;0.1017;456.861106;1.0;0.457049327
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;18960274.0;0.0473;400853608.0;883.389;46.0;0.101;0.0;0.0;1607542127.0;3.543;2106445441.0;1.31;627.0;0.001;397463081.0;0.24719999999999998;181794075.0;0.1131;453.768152;1.0;0.453631196
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;20069227.0;0.050199999999999995;399453204.0;885.616;47.0;0.104;0.0;0.0;1611652225.0;3.573;2099966813.0;1.3;627.0;0.001;390151976.0;0.2421;184286992.0;0.1143;451.045666;0.999;0.451445592
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;19038902.0;0.04769999999999999;399506681.0;875.51;49.0;0.107;0.0;0.0;1631155477.0;3.575;2098510098.0;1.29;626.0;0.001;426771283.0;0.2616;172145284.0;0.10550000000000001;456.313266;0.999;0.456637367
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;20068982.0;0.0501;400678141.0;879.246;46.0;0.101;0.0;0.0;1622459131.0;3.56;2100508355.0;1.29;627.0;0.001;394767235.0;0.2433;183786505.0;0.1133;455.706293;0.999;0.456059927
"./build/Benchmark/adevs_devstone classic  -w 15 -d 15 -t 500000";"adevs_devstone";"classic";1;15;15;500000;18678683.0;0.0467;399662099.0;890.727;48.0;0.107;0.0;0.0;1601359925.0;3.569;2107707117.0;1.32;632.0;0.001;402613243.0;0.2514;163462587.0;0.10210000000000001;448.692192;1.0;0.448622818
