 "command";"executable";"simtype";"ncores";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (50.90%))";"branches";"branches (M/sec                    (51.33%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (49.99%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.19%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.41%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;4894573.0;0.030699999999999998;159222321.0;994.489;18.0;0.112;1.0;0.006;531693948.0;3.321;787750212.0;1.48;737.0;0.005;104311634.0;0.1962;48908591.0;0.092;160.104615;1.635;0.097910345
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;5059966.0;0.030600000000000002;165484410.0;1044.005;19.0;0.12;1.0;0.006;531994389.0;3.356;794953137.0;1.49;735.0;0.005;104291779.0;0.196;49718498.0;0.0935;158.509249;1.63;0.097241154
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;5040991.0;0.0316;159410019.0;1005.649;16.0;0.101;1.0;0.006;524238705.0;3.307;776067794.0;1.48;726.0;0.005;104972377.0;0.2002;47957212.0;0.0915;158.514632;1.634;0.096992417
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;4893305.0;0.03;163143855.0;1008.835;17.0;0.105;1.0;0.006;534744368.0;3.307;805654766.0;1.51;733.0;0.005;104585294.0;0.1956;48351443.0;0.0904;161.715049;1.645;0.0983358
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;4941834.0;0.031400000000000004;157524227.0;970.359;17.0;0.105;1.0;0.006;524978727.0;3.234;790160349.0;1.51;739.0;0.005;103660389.0;0.1975;50021664.0;0.0953;162.335984;1.644;0.098745908
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;4952439.0;0.0292;169797646.0;1051.444;19.0;0.118;1.0;0.006;541236441.0;3.352;813434601.0;1.5;732.0;0.005;108319501.0;0.20010000000000003;48002438.0;0.08869999999999999;161.490014;1.669;0.096784698
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;4929307.0;0.0311;158406328.0;999.456;18.0;0.114;1.0;0.006;520619087.0;3.285;770017830.0;1.48;731.0;0.005;102019325.0;0.196;48248636.0;0.09269999999999999;158.492611;1.634;0.096977915
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;5053638.0;0.0315;160609157.0;999.496;18.0;0.112;1.0;0.006;526499701.0;3.276;787218285.0;1.5;740.0;0.005;109584317.0;0.20809999999999998;50101610.0;0.09519999999999999;160.69014;1.621;0.099117575
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;4987385.0;0.031;160643385.0;1017.342;18.0;0.114;1.0;0.006;519290893.0;3.289;781738439.0;1.51;745.0;0.005;101386200.0;0.19519999999999998;46824886.0;0.0902;157.904988;1.63;0.096902295
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;4836819.0;0.0302;159981143.0;1019.577;18.0;0.115;1.0;0.006;519227930.0;3.309;780770493.0;1.5;731.0;0.005;103272663.0;0.1989;44879769.0;0.0864;156.909382;1.638;0.09578977
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;4907003.0;0.0297;165324483.0;1044.362;18.0;0.114;1.0;0.006;528595013.0;3.339;797046881.0;1.51;735.0;0.005;101871510.0;0.19269999999999998;46147089.0;0.0873;158.301833;1.628;0.097264274
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;4884642.0;0.030600000000000002;159742092.0;1009.965;19.0;0.12;1.0;0.006;517581334.0;3.272;780342090.0;1.51;741.0;0.005;101637123.0;0.19640000000000002;49485420.0;0.0956;158.165927;1.627;0.097192844
"./build/Benchmark/adevs_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"adevs_devstone";"cpdevs";2;10;10;500000;4965424.0;0.029900000000000003;165937801.0;1054.258;19.0;0.121;1.0;0.006;526883682.0;3.347;809725519.0;1.54;735.0;0.005;102519277.0;0.1946;47059879.0;0.08929999999999999;157.397712;1.651;0.095352908
