 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.05%))";"branches";"branches (M/sec                    (50.18%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (49.86%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.18%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (49.86%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3036548.0;0.0429;70834482.0;134.356;52.0;0.099;0.0;0.0;1877894813.0;3.562;2641638899.0;1.41;473.0;0.897;875597716.0;0.46630000000000005;28843360.0;0.0154;527.216254;0.999;0.527505932
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3175683.0;0.044800000000000006;70910093.0;134.691;54.0;0.103;0.0;0.0;1881923096.0;3.575;2642370198.0;1.4;472.0;0.897;877829945.0;0.46649999999999997;30082892.0;0.016;526.46574;1.0;0.526728806
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3108011.0;0.044000000000000004;70640905.0;134.298;52.0;0.099;0.0;0.0;1863931297.0;3.544;2651714020.0;1.42;469.0;0.892;878731114.0;0.4714;30701157.0;0.0165;526.000537;0.999;0.526263853
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3189332.0;0.0451;70765403.0;134.296;54.0;0.102;0.0;0.0;1879581912.0;3.567;2640354586.0;1.4;468.0;0.888;876938580.0;0.46659999999999996;29970949.0;0.0159;526.935076;1.0;0.527173525
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3016797.0;0.0425;70954947.0;135.138;54.0;0.103;0.0;0.0;1871313457.0;3.564;2644610429.0;1.41;472.0;0.899;882294956.0;0.4715;27627590.0;0.0148;525.053772;1.0;0.524985185
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3117307.0;0.044199999999999996;70580567.0;134.114;54.0;0.103;0.0;0.0;1877701360.0;3.568;2647688234.0;1.41;473.0;0.899;877567060.0;0.46740000000000004;30532118.0;0.0163;526.271919;1.0;0.526138365
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3143610.0;0.044199999999999996;71053046.0;135.266;53.0;0.101;0.0;0.0;1870236932.0;3.56;2647226272.0;1.42;473.0;0.9;878980957.0;0.47;30172920.0;0.0161;525.284162;1.0;0.525515952
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3182894.0;0.0449;70936056.0;134.503;54.0;0.102;0.0;0.0;1877720141.0;3.56;2646007980.0;1.41;474.0;0.899;875864845.0;0.46649999999999997;31024729.0;0.0165;527.39261;0.999;0.527690738
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3026956.0;0.0429;70494845.0;133.65;54.0;0.102;0.0;0.0;1881026740.0;3.566;2631846472.0;1.4;473.0;0.897;875502734.0;0.4654;29480811.0;0.015700000000000002;527.460148;1.0;0.52770112
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3034678.0;0.042800000000000005;70933277.0;134.841;53.0;0.101;0.0;0.0;1876231502.0;3.567;2645151965.0;1.41;477.0;0.907;877445142.0;0.4677;29107983.0;0.0155;526.05203;1.0;0.526181268
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3120315.0;0.0443;70473473.0;134.043;53.0;0.101;0.0;0.0;1864956542.0;3.547;2647670596.0;1.42;468.0;0.89;879531716.0;0.47159999999999996;30816346.0;0.0165;525.752014;1.0;0.525940865
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3151421.0;0.0443;71107632.0;135.171;53.0;0.101;0.0;0.0;1869681963.0;3.554;2648057143.0;1.42;472.0;0.897;879348793.0;0.4703;30044735.0;0.0161;526.057949;1.0;0.526223389
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"adevs_phold";"classic";1;6;4;0;90;10.0;1000000;3025661.0;0.0426;70968601.0;134.917;53.0;0.101;0.0;0.0;1875805166.0;3.566;2645645719.0;1.41;472.0;0.897;877603251.0;0.4679;29359385.0;0.015700000000000002;526.016734;1.0;0.526251645
