 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.03%))";"branches";"branches (M/sec                    (50.12%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.06%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.12%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.13%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2778480.0;0.0407;68333671.0;133.952;52.0;0.102;0.0;0.0;1818351884.0;3.564;2553523392.0;1.4;470.0;0.921;851486393.0;0.4683;26949907.0;0.0148;510.134593;0.999;0.510442898
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2812914.0;0.040999999999999995;68620501.0;134.747;51.0;0.1;0.0;0.0;1812285216.0;3.559;2570936754.0;1.42;474.0;0.931;849731937.0;0.4689;27044347.0;0.0149;509.252585;0.999;0.509529876
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2778395.0;0.0405;68627889.0;134.753;52.0;0.102;0.0;0.0;1814976215.0;3.564;2563837189.0;1.41;471.0;0.925;847541625.0;0.467;27111183.0;0.0149;509.28614;1.0;0.509284251
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2779783.0;0.0409;67949498.0;132.761;52.0;0.102;0.0;0.0;1813515462.0;3.543;2573415193.0;1.42;470.0;0.918;853472160.0;0.4706;28006142.0;0.0154;511.81819;1.0;0.512050328
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2915116.0;0.0426;68384442.0;133.895;52.0;0.102;0.0;0.0;1818096713.0;3.56;2559542095.0;1.41;477.0;0.934;851770514.0;0.4685;28743903.0;0.0158;510.732915;1.0;0.510898417
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2784403.0;0.0407;68472123.0;134.166;51.0;0.1;0.0;0.0;1816423869.0;3.559;2562038092.0;1.41;472.0;0.925;848297397.0;0.467;27073042.0;0.0149;510.352331;0.999;0.510690624
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2781885.0;0.0405;68730720.0;135.569;52.0;0.103;0.0;0.0;1808797582.0;3.568;2566685790.0;1.42;469.0;0.925;854913730.0;0.47259999999999996;26351928.0;0.0146;506.980129;1.0;0.507182597
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2822982.0;0.040999999999999995;68898122.0;135.272;52.0;0.102;0.0;0.0;1818488772.0;3.57;2562589138.0;1.41;468.0;0.919;848130224.0;0.4664;26794356.0;0.0147;509.330945;1.0;0.509544519
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2790728.0;0.0406;68772428.0;134.993;52.0;0.102;0.0;0.0;1815594360.0;3.564;2560792282.0;1.41;470.0;0.923;849592821.0;0.4679;26665581.0;0.0147;509.450632;1.0;0.509633112
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2915250.0;0.0429;68029999.0;132.872;51.0;0.1;0.0;0.0;1819246489.0;3.553;2563748647.0;1.41;472.0;0.922;851331520.0;0.46799999999999997;27984533.0;0.0154;511.997665;1.0;0.512210052
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2763829.0;0.0407;67988495.0;132.918;53.0;0.104;0.0;0.0;1812875391.0;3.544;2573819890.0;1.42;471.0;0.921;852972216.0;0.4705;27612896.0;0.0152;511.508128;0.999;0.51194023
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2914376.0;0.042699999999999995;68300509.0;133.886;53.0;0.104;0.0;0.0;1819204832.0;3.566;2555174611.0;1.4;472.0;0.925;852816501.0;0.46880000000000005;28160544.0;0.0155;510.138018;1.0;0.510388106
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2784398.0;0.0406;68608157.0;134.566;51.0;0.1;0.0;0.0;1813514659.0;3.557;2566227955.0;1.42;467.0;0.916;848040835.0;0.46759999999999996;26068412.0;0.0144;509.846212;1.0;0.509731572
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2762163.0;0.0406;68055286.0;133.164;51.0;0.1;0.0;0.0;1811561506.0;3.545;2561142032.0;1.41;468.0;0.916;852879918.0;0.4708;26450449.0;0.0146;511.062684;1.0;0.511226213
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;10;0.0;1000000;2916750.0;0.0429;68037311.0;132.898;52.0;0.102;0.0;0.0;1820498887.0;3.556;2562503965.0;1.41;473.0;0.924;851477122.0;0.4677;29174315.0;0.016;511.95134;1.0;0.512086048
"./build/Benchmark/adevs_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"classic";1;6;4;0;20;0.0;1000000;2918611.0;0.0443;65918418.0;136.074;50.0;0.103;0.0;0.0;1729415119.0;3.57;2440039623.0;1.41;471.0;0.972;803933113.0;0.46490000000000004;27796151.0;0.0161;484.429576;1.0;0.484591668
