 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.00%))";"branches";"branches (M/sec                    (50.00%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.02%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.00%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.01%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;314645603.0;0.0075;41965381277.0;605.257;15290.0;0.221;29.0;0.0;249204018417.0;3.594;134421614588.0;0.54;726.0;0.01;149019316071.0;0.598;28186281382.0;0.1131;69334.807523;5.955;11.643372274
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;314643515.0;0.0072;43459160052.0;628.177;15041.0;0.217;57.0;0.001;248684263965.0;3.595;138638330843.0;0.56;762.0;0.011;148656787664.0;0.5978;27371129310.0;0.1101;69183.025808;5.956;11.615672299
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;311224182.0;0.0074;42340485514.0;614.717;14855.0;0.216;39.0;0.001;247559319434.0;3.594;135344102251.0;0.55;717.0;0.01;147794852305.0;0.597;27830961063.0;0.1124;68877.978605;5.954;11.56881738
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;317004752.0;0.0072;43865192021.0;634.21;16295.0;0.236;31.0;0.0;248618617239.0;3.595;139843115684.0;0.56;674.0;0.01;148470513940.0;0.5972;26237365454.0;0.10550000000000001;69165.058306;5.955;11.615051143
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;314707606.0;0.0072;43650267073.0;632.188;15366.0;0.223;24.0;0.0;248119338699.0;3.594;139262365832.0;0.56;715.0;0.01;148191011638.0;0.5972999999999999;27028748629.0;0.10890000000000001;69046.370321;5.958;11.589798338
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;312138272.0;0.0073;42474612860.0;615.55;15283.0;0.221;45.0;0.001;248018037909.0;3.594;135760918915.0;0.55;733.0;0.011;147540108614.0;0.5949;28305389988.0;0.11410000000000001;69002.651974;5.947;11.602459875
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;315636557.0;0.0070999999999999995;44299121740.0;636.12;16757.0;0.241;54.0;0.001;250204282872.0;3.593;141125964834.0;0.56;747.0;0.011;149308511215.0;0.5967;26918053640.0;0.1076;69639.59666;5.948;11.707097162
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;311987522.0;0.0070999999999999995;44168609605.0;638.786;15848.0;0.229;56.0;0.001;248429517184.0;3.593;140511451961.0;0.57;753.0;0.011;148741397108.0;0.5987;26102020153.0;0.1051;69144.558395;5.952;11.616187981
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;317187610.0;0.0073;43293459555.0;621.9;16439.0;0.236;33.0;0.0;250180409798.0;3.594;138215308558.0;0.55;657.0;0.009;149053616013.0;0.5958;28016260836.0;0.11199999999999999;69614.855291;5.953;11.693858533
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;310737283.0;0.0069;44777153819.0;650.602;16467.0;0.239;28.0;0.0;247322158571.0;3.594;142283614180.0;0.58;740.0;0.011;147693050799.0;0.5972;25669015692.0;0.1038;68824.168066;5.955;11.55649406
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;315947763.0;0.0070999999999999995;44450060403.0;635.785;15406.0;0.22;29.0;0.0;251263689948.0;3.594;141460382223.0;0.56;726.0;0.01;149850562071.0;0.5964;27326593487.0;0.10880000000000001;69913.669799;5.957;11.736395567
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;316942100.0;0.0072;44070256948.0;636.374;15994.0;0.231;50.0;0.001;248889848498.0;3.594;140214874690.0;0.56;679.0;0.01;148968341615.0;0.5985;26667069878.0;0.10710000000000001;69252.079471;5.955;11.629284074
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;317797677.0;0.006999999999999999;45119503521.0;652.221;16681.0;0.241;49.0;0.001;248588920684.0;3.593;143099954706.0;0.58;752.0;0.011;148045344876.0;0.5954999999999999;25998245408.0;0.10460000000000001;69178.250247;5.949;11.628325794
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;312530455.0;0.0073;43056778139.0;627.492;16315.0;0.238;43.0;0.001;246650748101.0;3.595;137385309959.0;0.56;758.0;0.011;147813812820.0;0.5992999999999999;26908751028.0;0.1091;68617.201938;5.954;11.523703966
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;10;0.0;1000000;310460842.0;0.0073;42440307946.0;616.741;15005.0;0.218;43.0;0.001;247269887352.0;3.593;135542821833.0;0.55;754.0;0.011;147873617782.0;0.598;27568729392.0;0.1115;68813.857905;5.954;11.557168705
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;309696881.0;0.0073;42432132631.0;621.623;15248.0;0.223;40.0;0.001;245303928795.0;3.594;135522515521.0;0.55;698.0;0.01;148860541267.0;0.6068;25213064126.0;0.10279999999999999;68260.185035;5.955;11.463067035
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;308239028.0;0.0070999999999999995;43509153371.0;635.425;16375.0;0.239;52.0;0.001;246116007233.0;3.594;138178567981.0;0.56;738.0;0.011;149065106269.0;0.6057;24843214921.0;0.1009;68472.481051;5.951;11.506490845
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;318942491.0;0.0074;43110294472.0;630.372;15431.0;0.226;56.0;0.001;245858768781.0;3.595;137300638174.0;0.56;652.0;0.01;148403958728.0;0.6036;25596899121.0;0.1041;68388.604952;5.956;11.482414657
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;309528301.0;0.0074;41596176394.0;608.569;15634.0;0.229;42.0;0.001;245679366006.0;3.594;132890557993.0;0.54;757.0;0.011;148303169793.0;0.6036;26909574366.0;0.10949999999999999;68350.749146;5.955;11.478083689
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;309055857.0;0.0075;40984866951.0;600.695;15482.0;0.227;48.0;0.001;245292711059.0;3.595;131336406563.0;0.54;781.0;0.011;148234354408.0;0.6043;27318548508.0;0.1114;68229.083861;5.956;11.456260502
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;309356604.0;0.0076;40758084695.0;595.785;14953.0;0.219;51.0;0.001;245861464690.0;3.594;130741334303.0;0.53;745.0;0.011;149033221074.0;0.6062;26958544454.0;0.1096;68410.780191;5.955;11.487478057
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;316060963.0;0.0074;42728135173.0;628.856;15375.0;0.226;39.0;0.001;244139894257.0;3.593;136041710516.0;0.56;700.0;0.01;147559219489.0;0.6043999999999999;25411656197.0;0.1041;67945.843451;5.951;11.417749895
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;312845888.0;0.0074;42105997616.0;613.623;14211.0;0.207;28.0;0.0;246757067400.0;3.596;134346980143.0;0.54;752.0;0.011;149274489329.0;0.6049;26901127876.0;0.109;68618.697104;5.962;11.508994859
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;309484039.0;0.0074;41973395922.0;617.311;14603.0;0.215;43.0;0.001;244353671258.0;3.594;134015417255.0;0.55;692.0;0.01;148515392483.0;0.6078;25377555697.0;0.1039;67993.914223;5.956;11.415205952
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;309630861.0;0.0072;43084939093.0;627.031;15888.0;0.231;38.0;0.001;247027026740.0;3.595;137459249007.0;0.56;735.0;0.011;148531503509.0;0.6013000000000001;26229833751.0;0.10619999999999999;68712.627974;5.953;11.543420179
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;312280893.0;0.0075;41453089233.0;605.717;15578.0;0.228;48.0;0.001;246004860061.0;3.595;132566452772.0;0.54;667.0;0.01;148979352725.0;0.6056;26540697941.0;0.1079;68436.363827;5.955;11.492023722
"./build/Benchmark/adevs_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"adevs_phold";"cpdevs";6;6;4;0;20;0.0;1000000;310571753.0;0.0076;40912477043.0;598.038;13965.0;0.204;54.0;0.001;245840635807.0;3.594;130960335427.0;0.53;753.0;0.011;148883699876.0;0.6056;27392773814.0;0.1114;68411.150519;5.956;11.486499506
