 "command";"executable";"simtype";"ncores";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (50.44%))";"branches";"branches (M/sec                    (52.04%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (48.85%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (53.03%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (48.83%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_interconnect classic  -w 10 -t 1000000";"dxexmachina_interconnect";"classic";1;10;1000000;585360.0;0.0209;27961414.0;766.615;6.0;0.165;0.0;0.0;130909282.0;3.589;184323814.0;1.41;441.0;0.012;39608233.0;0.30260000000000004;5362120.0;0.040999999999999995;36.473879;0.984;0.037057834
"./build/Benchmark/dxexmachina_interconnect classic  -w 10 -t 1000000";"dxexmachina_interconnect";"classic";1;10;1000000;584827.0;0.019;30802714.0;749.751;4.0;0.097;0.0;0.0;127318306.0;3.099;190810175.0;1.5;439.0;0.011;41379093.0;0.325;6210754.0;0.048799999999999996;41.083937;0.981;0.041867717
"./build/Benchmark/dxexmachina_interconnect classic  -w 10 -t 1000000";"dxexmachina_interconnect";"classic";1;10;1000000;552392.0;0.0194;28504971.0;660.55;5.0;0.116;0.0;0.0;126379451.0;2.929;190786879.0;1.51;440.0;0.01;43031608.0;0.34049999999999997;5860263.0;0.0464;43.153412;0.979;0.04407779
"./build/Benchmark/dxexmachina_interconnect classic  -w 10 -t 1000000";"dxexmachina_interconnect";"classic";1;10;1000000;661652.0;0.022000000000000002;30086505.0;774.735;5.0;0.129;0.0;0.0;121535150.0;3.13;195548628.0;1.61;442.0;0.011;48083962.0;0.3956;6515615.0;0.0536;38.834573;0.986;0.039393545
"./build/Benchmark/dxexmachina_interconnect classic  -w 10 -t 1000000";"dxexmachina_interconnect";"classic";1;10;1000000;605331.0;0.0203;29847931.0;719.594;4.0;0.096;0.0;0.0;130413402.0;3.144;179062527.0;1.37;440.0;0.011;39788403.0;0.30510000000000004;6092812.0;0.0467;41.478859;0.978;0.042403863
"./build/Benchmark/dxexmachina_interconnect classic  -w 10 -t 1000000";"dxexmachina_interconnect";"classic";1;10;1000000;641526.0;0.0213;30159889.0;760.604;5.0;0.126;0.0;0.0;130560362.0;3.293;187817169.0;1.44;439.0;0.011;38241245.0;0.2929;5523878.0;0.042300000000000004;39.652564;0.982;0.040378438
"./build/Benchmark/dxexmachina_interconnect classic  -w 10 -t 1000000";"dxexmachina_interconnect";"classic";1;10;1000000;569924.0;0.021;27195083.0;731.221;5.0;0.134;0.0;0.0;129036504.0;3.47;185220494.0;1.44;444.0;0.012;40930689.0;0.3172;5366842.0;0.0416;37.191346;0.976;0.038108514
"./build/Benchmark/dxexmachina_interconnect classic  -w 10 -t 1000000";"dxexmachina_interconnect";"classic";1;10;1000000;702045.0;0.0233;30119248.0;762.322;5.0;0.127;0.0;0.0;129793895.0;3.285;189095144.0;1.46;440.0;0.011;36929942.0;0.2845;5875955.0;0.0453;39.509882;0.977;0.04045734
"./build/Benchmark/dxexmachina_interconnect classic  -w 10 -t 1000000";"dxexmachina_interconnect";"classic";1;10;1000000;571550.0;0.0182;31400911.0;781.556;4.0;0.1;0.0;0.0;123799415.0;3.081;192203575.0;1.55;443.0;0.011;37150894.0;0.30010000000000003;5086853.0;0.041100000000000005;40.177411;0.977;0.041122015
"./build/Benchmark/dxexmachina_interconnect classic  -w 10 -t 1000000";"dxexmachina_interconnect";"classic";1;10;1000000;618803.0;0.0202;30577447.0;769.695;5.0;0.126;0.0;0.0;129355843.0;3.256;191979638.0;1.48;443.0;0.011;39832959.0;0.3079;5203428.0;0.04019999999999999;39.72671;0.977;0.040661796
