 "command";"executable";"simtype";"ncores";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (50.02%))";"branches";"branches (M/sec                    (50.61%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (49.85%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (51.52%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (49.83%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1558093.0;0.020099999999999996;77492932.0;789.961;12.0;0.122;0.0;0.0;327855884.0;3.342;492592898.0;1.5;429.0;0.004;107808506.0;0.32880000000000004;14573441.0;0.044500000000000005;98.097169;0.992;0.098937893
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1159301.0;0.0149;77690699.0;869.336;9.0;0.101;0.0;0.0;321668789.0;3.599;490864406.0;1.53;427.0;0.005;107638495.0;0.3346;10765135.0;0.0335;89.367889;0.995;0.089802342
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1165407.0;0.0149;78199556.0;797.627;10.0;0.102;0.0;0.0;332510372.0;3.392;504010830.0;1.52;432.0;0.004;124587265.0;0.3747;10688547.0;0.0321;98.040265;0.991;0.098895409
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1707482.0;0.0222;77054674.0;781.956;11.0;0.112;0.0;0.0;334607899.0;3.396;495951559.0;1.48;432.0;0.004;118824115.0;0.35509999999999997;15456819.0;0.0462;98.54092;0.995;0.099084397
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1458392.0;0.019;76808145.0;798.109;10.0;0.104;0.0;0.0;332164280.0;3.451;482302353.0;1.45;432.0;0.004;110073655.0;0.33140000000000003;14869107.0;0.044800000000000006;96.237667;0.993;0.096954483
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1292914.0;0.0168;76789240.0;761.773;11.0;0.109;0.0;0.0;339841004.0;3.371;488898258.0;1.44;430.0;0.004;117585517.0;0.34600000000000003;14130954.0;0.0416;100.803366;0.994;0.101423132
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1155086.0;0.015;77049272.0;844.785;10.0;0.11;0.0;0.0;323761396.0;3.55;492123631.0;1.52;430.0;0.005;106959755.0;0.33039999999999997;10465283.0;0.0323;91.205745;0.991;0.09205629
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1188104.0;0.015300000000000001;77596680.0;773.336;11.0;0.11;0.0;0.0;343804182.0;3.426;488305870.0;1.42;432.0;0.004;121455908.0;0.3533;10623780.0;0.030899999999999997;100.340186;0.994;0.100902631
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1311609.0;0.0171;76901859.0;813.182;12.0;0.127;0.0;0.0;339467555.0;3.59;489135342.0;1.44;429.0;0.005;113643754.0;0.3348;12513459.0;0.0369;94.569019;0.994;0.095098443
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1604272.0;0.0204;78463331.0;795.751;9.0;0.091;0.0;0.0;328075087.0;3.327;496515291.0;1.51;430.0;0.004;105851297.0;0.3226;16308757.0;0.049699999999999994;98.602849;0.992;0.099438464
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1243578.0;0.016200000000000003;76582221.0;800.394;10.0;0.105;0.0;0.0;327852671.0;3.427;481511110.0;1.47;430.0;0.004;106877048.0;0.326;11371144.0;0.0347;95.680629;0.995;0.096179148
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1207311.0;0.015600000000000001;77554211.0;828.869;9.0;0.096;0.0;0.0;314335453.0;3.359;493997791.0;1.57;429.0;0.005;107435806.0;0.3418;9678756.0;0.0308;93.566294;0.992;0.094273424
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1120391.0;0.0146;76673050.0;796.818;9.0;0.094;0.0;0.0;325526529.0;3.383;480944380.0;1.48;430.0;0.004;108075590.0;0.332;10084370.0;0.031;96.224023;0.992;0.096967349
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1582860.0;0.020499999999999997;77078645.0;758.235;10.0;0.098;0.0;0.0;345672104.0;3.4;484214382.0;1.4;430.0;0.004;118437023.0;0.34259999999999996;16163981.0;0.046799999999999994;101.655305;0.993;0.102390213
"./build/Benchmark/dxexmachina_interconnect classic  -w 8 -t 4000000";"dxexmachina_interconnect";"classic";1;8;4000000;1148886.0;0.0147;78028490.0;815.277;9.0;0.094;0.0;0.0;323886777.0;3.384;487991762.0;1.51;435.0;0.005;103501829.0;0.3196;10574780.0;0.0326;95.707987;0.991;0.09660577
