 "command";"executable";"simtype";"ncores";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (50.17%))";"branches";"branches (M/sec                    (50.40%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.15%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (49.86%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (49.89%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_interconnect cpdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"cpdevs";2;8;4000000;5298524.0;0.0182;291871876.0;443.128;75.0;0.114;2.0;0.003;2285689787.0;3.47;1618241701.0;0.71;519.0;0.788;1447959278.0;0.6335000000000001;76670034.0;0.0335;658.663048;1.968;0.334607855
"./build/Benchmark/dxexmachina_interconnect cpdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"cpdevs";2;8;4000000;6138061.0;0.021400000000000002;286492745.0;434.894;71.0;0.108;2.0;0.003;2264522132.0;3.438;1589656586.0;0.7;520.0;0.789;1425894719.0;0.6297;86091698.0;0.038;658.765037;1.97;0.334387873
"./build/Benchmark/dxexmachina_interconnect cpdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"cpdevs";2;8;4000000;5976567.0;0.0207;289230962.0;448.755;73.0;0.113;2.0;0.003;2268147883.0;3.519;1588249502.0;0.7;521.0;0.808;1416876112.0;0.6247;78107662.0;0.0344;644.518894;1.983;0.325096517
"./build/Benchmark/dxexmachina_interconnect cpdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"cpdevs";2;8;4000000;5739078.0;0.02;286659540.0;447.192;70.0;0.109;2.0;0.003;2245754761.0;3.503;1594076773.0;0.71;522.0;0.814;1395296656.0;0.6213000000000001;80695601.0;0.0359;641.021605;1.984;0.323168304
"./build/Benchmark/dxexmachina_interconnect cpdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"cpdevs";2;8;4000000;5452338.0;0.0181;300412855.0;447.47;73.0;0.109;2.0;0.003;2337722616.0;3.482;1652822928.0;0.71;520.0;0.775;1480487024.0;0.6333;81087837.0;0.0347;671.357979;1.971;0.3406829
"./build/Benchmark/dxexmachina_interconnect cpdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"cpdevs";2;8;4000000;5950330.0;0.020099999999999996;295309819.0;439.869;77.0;0.115;2.0;0.003;2309120207.0;3.439;1635907494.0;0.71;522.0;0.778;1452505562.0;0.629;85726234.0;0.0371;671.359309;1.971;0.340682807
"./build/Benchmark/dxexmachina_interconnect cpdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"cpdevs";2;8;4000000;6065786.0;0.0207;292871913.0;446.056;74.0;0.113;2.0;0.003;2299920721.0;3.503;1634683254.0;0.71;519.0;0.79;1423713780.0;0.619;80814969.0;0.0351;656.581544;1.972;0.332981684
"./build/Benchmark/dxexmachina_interconnect cpdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"cpdevs";2;8;4000000;5326571.0;0.018500000000000003;287234494.0;444.435;73.0;0.113;2.0;0.003;2232774952.0;3.455;1600780192.0;0.72;521.0;0.806;1416609653.0;0.6345000000000001;68572794.0;0.030699999999999998;646.290837;1.97;0.328020666
"./build/Benchmark/dxexmachina_interconnect cpdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"cpdevs";2;8;4000000;5511845.0;0.0191;289272203.0;446.704;74.0;0.114;2.0;0.003;2284201960.0;3.527;1614015157.0;0.71;520.0;0.803;1430932604.0;0.6264;73556290.0;0.0322;647.570331;1.984;0.326422018
"./build/Benchmark/dxexmachina_interconnect cpdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"cpdevs";2;8;4000000;5548212.0;0.0187;296052380.0;446.918;73.0;0.11;2.0;0.003;2326781829.0;3.512;1634066049.0;0.7;519.0;0.783;1454320694.0;0.625;84321901.0;0.0362;662.430705;1.971;0.336098739
