 "command";"executable";"simtype";"ncores";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (50.06%))";"branches";"branches (M/sec                    (49.95%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.00%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.04%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.12%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_interconnect opdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"opdevs";2;8;4000000;50287161.0;0.0182;2765572301.0;414.671;4795.0;0.719;30.0;0.004;23738793822.0;3.559;13777275906.0;0.58;287758.0;0.043;16401387072.0;0.6909000000000001;727829851.0;0.030699999999999998;6669.319519;1.991;3.350480199
"./build/Benchmark/dxexmachina_interconnect opdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"opdevs";2;8;4000000;48474280.0;0.0197;2460791523.0;412.038;4327.0;0.725;32.0;0.005;21254353043.0;3.559;12217173591.0;0.57;258390.0;0.043;14632333054.0;0.6884;695328216.0;0.0327;5972.240188;1.977;3.020926872
"./build/Benchmark/dxexmachina_interconnect opdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"opdevs";2;8;4000000;39061888.0;0.0196;1994520534.0;406.294;3753.0;0.765;15.0;0.003;17420337647.0;3.549;9989253563.0;0.57;213128.0;0.043;11982824504.0;0.6879000000000001;586329132.0;0.0337;4909.054018;1.948;2.520410924
"./build/Benchmark/dxexmachina_interconnect opdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"opdevs";2;8;4000000;61362198.0;0.0175;3505266856.0;419.347;5755.0;0.688;25.0;0.003;29740870384.0;3.558;17249589478.0;0.58;390419.0;0.047;20480012462.0;0.6886;869884753.0;0.0292;8358.877785;1.983;4.215308476
"./build/Benchmark/dxexmachina_interconnect opdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"opdevs";2;8;4000000;40424174.0;0.021;1928223369.0;400.016;3652.0;0.758;19.0;0.004;17179433357.0;3.564;9699775762.0;0.56;190963.0;0.04;11814743756.0;0.6877;518779637.0;0.0302;4820.37087;1.977;2.438799718
"./build/Benchmark/dxexmachina_interconnect opdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"opdevs";2;8;4000000;57148864.0;0.018500000000000003;3095187574.0;418.616;5054.0;0.684;12.0;0.002;26340010734.0;3.562;15295741622.0;0.58;303519.0;0.041;18147277383.0;0.6890000000000001;767874912.0;0.0292;7393.857623;1.974;3.746523018
"./build/Benchmark/dxexmachina_interconnect opdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"opdevs";2;8;4000000;38327503.0;0.019799999999999998;1934920449.0;412.436;3852.0;0.821;13.0;0.003;16714656506.0;3.563;9675578033.0;0.58;180782.0;0.039;11419458981.0;0.6831999999999999;540277872.0;0.0323;4691.439011;1.968;2.383751771
"./build/Benchmark/dxexmachina_interconnect opdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"opdevs";2;8;4000000;55055785.0;0.0194;2840996731.0;413.805;4814.0;0.701;35.0;0.005;24412550573.0;3.556;14111888084.0;0.58;298371.0;0.043;16804924801.0;0.6884;744731185.0;0.0305;6865.549932;1.992;3.44650544
"./build/Benchmark/dxexmachina_interconnect opdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"opdevs";2;8;4000000;42474980.0;0.0194;2191404089.0;411.07;4206.0;0.789;19.0;0.004;18938878396.0;3.553;10910067138.0;0.58;241857.0;0.045;13028866127.0;0.6879000000000001;616227281.0;0.0325;5330.973775;1.962;2.717587583
"./build/Benchmark/dxexmachina_interconnect opdevs -c 2  -w 8 -t 4000000";"dxexmachina_interconnect";"opdevs";2;8;4000000;59536605.0;0.0177;3370038281.0;416.191;5448.0;0.673;37.0;0.005;28801355120.0;3.557;16579802635.0;0.58;373656.0;0.046;19898845853.0;0.6909000000000001;867749971.0;0.0301;8097.33358;1.986;4.077456712
