 "command";"executable";"simtype";"ncores";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (50.08%))";"branches";"branches (M/sec                    (49.34%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.71%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (51.91%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (51.32%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;793610.0;0.0192;41400755.0;544.8;7.0;0.092;0.0;0.0;253091507.0;3.33;265297254.0;1.05;556.0;0.007;125144157.0;0.49450000000000005;7146954.0;0.0282;75.992613;0.989;0.076835585
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;1269814.0;0.031;40969648.0;538.285;8.0;0.105;0.0;0.0;262839561.0;3.453;261128718.0;0.99;557.0;0.007;125418863.0;0.4772;10176472.0;0.0387;76.111442;0.989;0.076986403
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;327325.0;0.008;41126196.0;553.822;8.0;0.108;0.0;0.0;242537502.0;3.266;262334419.0;1.08;559.0;0.008;130303238.0;0.5372;3844117.0;0.0158;74.258877;0.988;0.075164574
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;665371.0;0.0161;41446973.0;563.272;18.0;0.245;0.0;0.0;248880159.0;3.382;269796262.0;1.08;557.0;0.008;132425608.0;0.5321;6242569.0;0.025099999999999997;73.582487;0.985;0.074727196
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;819547.0;0.0197;41528690.0;542.415;8.0;0.104;0.0;0.0;250358580.0;3.27;269113230.0;1.07;557.0;0.007;127290031.0;0.5084000000000001;6859080.0;0.0274;76.562518;0.988;0.077486765
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;808290.0;0.0196;41191422.0;561.835;8.0;0.109;0.0;0.0;249011157.0;3.396;267569674.0;1.07;554.0;0.008;131949159.0;0.5299;7505732.0;0.0301;73.315905;0.988;0.074199087
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;813652.0;0.0197;41237805.0;562.046;8.0;0.109;0.0;0.0;248784693.0;3.391;267930447.0;1.08;554.0;0.008;131587741.0;0.5289;7538077.0;0.030299999999999997;73.370836;0.987;0.074344302
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;1102063.0;0.0269;40895029.0;512.134;9.0;0.113;0.0;0.0;264539391.0;3.313;262785233.0;0.99;557.0;0.007;138392418.0;0.5231;9216128.0;0.0348;79.852173;0.989;0.080759498
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;329977.0;0.008100000000000001;40809539.0;561.872;8.0;0.11;0.0;0.0;246415628.0;3.393;259249841.0;1.05;556.0;0.008;129918472.0;0.5272;4374738.0;0.0178;72.631351;0.988;0.073523943
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;310588.0;0.0077;40396002.0;537.953;8.0;0.107;0.0;0.0;237104076.0;3.158;266624686.0;1.12;554.0;0.007;129851281.0;0.5477000000000001;3888221.0;0.016399999999999998;75.092056;0.992;0.075721962
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;652333.0;0.0159;41074016.0;571.173;8.0;0.111;0.0;0.0;253561337.0;3.526;261172747.0;1.03;557.0;0.008;128174292.0;0.5055;5463919.0;0.0215;71.911731;0.988;0.072771118
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;1197201.0;0.0287;41661113.0;547.758;7.0;0.092;0.0;0.0;255292635.0;3.357;264955020.0;1.04;557.0;0.007;123798095.0;0.4849;9488949.0;0.037200000000000004;76.057533;0.988;0.076942841
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;317489.0;0.008;39493703.0;537.357;8.0;0.109;0.0;0.0;242276324.0;3.296;264367813.0;1.09;558.0;0.008;126990228.0;0.5242;3988344.0;0.0165;73.496173;0.988;0.074395198
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;637326.0;0.0155;41072115.0;556.24;7.0;0.095;0.0;0.0;247762711.0;3.355;268521705.0;1.08;556.0;0.008;135265206.0;0.5459;7044516.0;0.028399999999999998;73.838879;0.989;0.074641193
"./build/Benchmark/dxexmachina_devstone classic  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"classic";1;10;10;500000;1227718.0;0.029500000000000002;41655277.0;555.633;8.0;0.107;0.0;0.0;247572186.0;3.302;271147738.0;1.1;557.0;0.007;128124928.0;0.5175;9749820.0;0.0394;74.96906;0.988;0.075897431
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;1820910.0;0.0206;88448169.0;510.141;19.0;0.11;0.0;0.0;607009320.0;3.501;574349409.0;0.95;698.0;0.004;339015219.0;0.5585;15029169.0;0.0248;173.379986;0.996;0.1741406
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;2458079.0;0.0277;88621624.0;502.358;20.0;0.113;0.0;0.0;602490467.0;3.415;585398790.0;0.97;697.0;0.004;334963911.0;0.556;19869883.0;0.033;176.411168;0.996;0.177154651
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;1697064.0;0.0191;88789235.0;521.01;17.0;0.1;0.0;0.0;593959293.0;3.485;585638415.0;0.99;698.0;0.004;338036000.0;0.5690999999999999;14069678.0;0.023700000000000002;170.417501;0.998;0.170799192
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;2332493.0;0.0263;88540505.0;510.415;20.0;0.115;0.0;0.0;611688508.0;3.526;577075498.0;0.94;697.0;0.004;336932415.0;0.5508;19010414.0;0.0311;173.467796;0.994;0.174478375
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;2626645.0;0.029900000000000003;87981515.0;518.568;17.0;0.1;0.0;0.0;595765224.0;3.511;587326040.0;0.99;698.0;0.004;323759442.0;0.5434;20588443.0;0.0346;169.662289;0.996;0.170333401
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;1707891.0;0.019;89884904.0;506.534;17.0;0.096;0.0;0.0;608991504.0;3.432;585108535.0;0.96;695.0;0.004;358673835.0;0.589;13621768.0;0.022400000000000003;177.450772;0.997;0.177945501
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;1724526.0;0.0192;89646312.0;521.08;19.0;0.11;0.0;0.0;607451628.0;3.531;584525529.0;0.96;701.0;0.004;343104057.0;0.5648;14115985.0;0.0232;172.039571;0.995;0.172866281
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;625409.0;0.006999999999999999;88737752.0;518.115;17.0;0.099;0.0;0.0;587240610.0;3.429;581902999.0;0.99;698.0;0.004;347980290.0;0.5926;6328841.0;0.0108;171.27047;0.995;0.172053655
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;1732857.0;0.0195;89051797.0;512.493;18.0;0.104;0.0;0.0;611028611.0;3.516;580002736.0;0.95;697.0;0.004;342232633.0;0.5600999999999999;14399587.0;0.0236;173.761999;0.996;0.174539977
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;1478337.0;0.0166;88878183.0;513.04;18.0;0.104;0.0;0.0;602132136.0;3.476;578153303.0;0.96;698.0;0.004;336589251.0;0.5589999999999999;12828614.0;0.0213;173.238179;0.994;0.174208375
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;1468560.0;0.0166;88581853.0;523.839;17.0;0.101;0.0;0.0;587750270.0;3.476;589192822.0;1.0;695.0;0.004;335362290.0;0.5706;13486731.0;0.0229;169.101195;0.995;0.169884
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;1899745.0;0.0216;87865063.0;520.155;18.0;0.107;0.0;0.0;590950653.0;3.498;582581798.0;0.99;698.0;0.004;322897831.0;0.5464;15762002.0;0.026699999999999998;168.920999;0.998;0.169325886
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;1424067.0;0.0161;88706012.0;521.109;19.0;0.112;0.0;0.0;590533958.0;3.469;585798826.0;0.99;700.0;0.004;342136231.0;0.5794;12092389.0;0.020499999999999997;170.225402;0.995;0.171029018
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;597120.0;0.0067;89652522.0;524.154;17.0;0.099;0.0;0.0;587956304.0;3.437;588812943.0;1.0;697.0;0.004;356083088.0;0.6056;6833969.0;0.0116;171.042226;0.996;0.171775314
"./build/Benchmark/dxexmachina_devstone classic  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"classic";1;15;15;500000;2662075.0;0.0297;89643040.0;519.851;17.0;0.099;0.0;0.0;602363997.0;3.493;582893942.0;0.97;698.0;0.004;322352676.0;0.5351;20447113.0;0.0339;172.439797;0.996;0.173135997
"./build/Benchmark/dxexmachina_devstone classic  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"classic";1;20;20;500000;1088117.0;0.006999999999999999;154939232.0;433.22;36.0;0.101;0.0;0.0;1264632113.0;3.536;1017167536.0;0.8;922.0;0.003;850178424.0;0.6723;11172500.0;0.0088;357.645795;0.998;0.358234296
"./build/Benchmark/dxexmachina_devstone classic  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"classic";1;20;20;500000;2252788.0;0.0146;153814698.0;425.506;37.0;0.102;0.0;0.0;1279078406.0;3.538;1024491731.0;0.8;920.0;0.003;844090945.0;0.6598999999999999;19666671.0;0.0154;361.486849;1.0;0.361657858
"./build/Benchmark/dxexmachina_devstone classic  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"classic";1;20;20;500000;3202774.0;0.0206;155209468.0;426.726;38.0;0.104;0.0;0.0;1297527969.0;3.567;1022939331.0;0.79;923.0;0.003;839857913.0;0.6473;26159325.0;0.0202;363.72159;1.0;0.36389517
"./build/Benchmark/dxexmachina_devstone classic  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"classic";1;20;20;500000;2707674.0;0.0176;154215905.0;419.091;40.0;0.109;0.0;0.0;1318157509.0;3.582;1021197573.0;0.77;926.0;0.003;876518600.0;0.665;22471020.0;0.017;367.976711;0.999;0.368523847
"./build/Benchmark/dxexmachina_devstone classic  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"classic";1;20;20;500000;3502065.0;0.0227;154559864.0;412.436;37.0;0.099;0.0;0.0;1312663605.0;3.503;1024665816.0;0.78;920.0;0.002;853731619.0;0.6504000000000001;30023316.0;0.0229;374.748492;0.999;0.375107833
