 "command";"executable";"simtype";"ncores";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (50.08%))";"branches";"branches (M/sec                    (50.85%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (48.89%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (51.52%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (51.94%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;1119071.0;0.0213;52573217.0;394.061;19.0;0.142;2.0;0.015;405240385.0;3.037;323616165.0;0.8;607.0;0.005;247042380.0;0.6096;12417613.0;0.030600000000000002;133.413786;1.824;0.073129193
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;1000533.0;0.02;50000101.0;456.997;16.0;0.146;2.0;0.018;314300935.0;2.873;309224462.0;0.98;609.0;0.006;178914717.0;0.5692;10584290.0;0.0337;109.410144;1.829;0.059825345
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;798490.0;0.0158;50410344.0;392.253;21.0;0.163;2.0;0.016;369916107.0;2.878;315878304.0;0.85;610.0;0.005;246587550.0;0.6666;10992900.0;0.0297;128.514819;1.823;0.07050689
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;617311.0;0.0116;53321018.0;417.393;15.0;0.117;2.0;0.016;423596325.0;3.316;326311681.0;0.77;610.0;0.005;265587397.0;0.627;10013604.0;0.0236;127.747767;1.917;0.066633683
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;464913.0;0.009399999999999999;49448490.0;468.685;20.0;0.19;3.0;0.028;320761755.0;3.04;314304115.0;0.98;608.0;0.006;180693601.0;0.5633;7763717.0;0.0242;105.504806;1.864;0.056595046
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;1474889.0;0.0288;51207306.0;413.389;20.0;0.161;2.0;0.016;411779255.0;3.324;315523107.0;0.77;607.0;0.005;243283791.0;0.5908;15199723.0;0.0369;123.872079;1.881;0.065838758
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;1085266.0;0.0217;49909309.0;455.782;20.0;0.183;2.0;0.018;310696069.0;2.837;309525498.0;1.0;609.0;0.006;176688708.0;0.5687;11387583.0;0.036699999999999997;109.502519;1.808;0.060558425
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;571461.0;0.0111;51320303.0;388.7;17.0;0.129;2.0;0.015;391151802.0;2.963;322454421.0;0.82;609.0;0.005;262858326.0;0.672;8643279.0;0.022099999999999998;132.030476;1.844;0.071581951
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;960606.0;0.0192;50136909.0;474.257;15.0;0.142;3.0;0.028;312105852.0;2.952;312603342.0;1.0;607.0;0.006;179896660.0;0.5764;10668206.0;0.0342;105.716657;1.777;0.0594946
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;583685.0;0.012;48831684.0;387.0;19.0;0.151;2.0;0.016;386882030.0;3.066;319391805.0;0.83;609.0;0.005;254450053.0;0.6577;9467734.0;0.0245;126.18006;1.823;0.069204629
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;1059372.0;0.0213;49807812.0;357.452;18.0;0.129;2.0;0.014;422026056.0;3.029;323477657.0;0.77;607.0;0.004;279722495.0;0.6628000000000001;13430457.0;0.0318;139.341327;1.844;0.075559379
"./build/Benchmark/dxexmachina_devstone cpdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"cpdevs";2;10;10;500000;1132828.0;0.0231;49076891.0;477.762;15.0;0.146;3.0;0.029;296229589.0;2.884;304837176.0;1.03;617.0;0.006;165130642.0;0.5574;11575214.0;0.0391;102.722466;1.726;0.05950765
