 "command";"executable";"simtype";"ncores";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (50.07%))";"branches";"branches (M/sec                    (49.65%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (49.83%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (51.28%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (51.72%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1331999.0;0.0174;76560210.0;361.489;67.0;0.316;3.0;0.014;671635686.0;3.171;468803952.0;0.7;13167.0;0.062;464680866.0;0.6919;22583590.0;0.0336;211.791286;0.997;0.21233513
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1208812.0;0.0152;79494319.0;371.134;73.0;0.341;3.0;0.014;661258800.0;3.087;487598628.0;0.74;13170.0;0.061;459914655.0;0.6955;22198281.0;0.0336;214.193231;1.008;0.212498464
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1201585.0;0.015300000000000001;78525360.0;363.585;66.0;0.306;5.0;0.023;664263891.0;3.076;481548800.0;0.72;13157.0;0.061;461018816.0;0.6940000000000001;22808463.0;0.034300000000000004;215.975528;1.013;0.213305437
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1207815.0;0.014499999999999999;83441029.0;388.488;77.0;0.358;3.0;0.014;702702617.0;3.272;493515560.0;0.7;13166.0;0.061;480159018.0;0.6833;21592590.0;0.030699999999999998;214.784288;1.013;0.212052847
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1302672.0;0.016399999999999998;79521016.0;377.414;70.0;0.332;3.0;0.014;711115743.0;3.375;457354591.0;0.64;13171.0;0.063;453268585.0;0.6374;25680361.0;0.0361;210.699942;1.0;0.210627416
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1245746.0;0.015600000000000001;80063899.0;368.887;74.0;0.341;4.0;0.018;698614236.0;3.219;477492097.0;0.68;13159.0;0.061;458424362.0;0.6562;25446317.0;0.0364;217.042045;1.023;0.21209491
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1210012.0;0.0155;78152809.0;368.981;62.0;0.293;3.0;0.014;708078540.0;3.343;453739923.0;0.64;13162.0;0.062;458281206.0;0.6472;24170617.0;0.0341;211.807354;1.005;0.210771529
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1242796.0;0.015300000000000001;81280565.0;372.363;65.0;0.298;3.0;0.014;691204364.0;3.167;468182005.0;0.68;13177.0;0.06;453831700.0;0.6566;22872168.0;0.0331;218.282878;1.023;0.213288698
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1524700.0;0.0196;77740659.0;379.545;63.0;0.308;4.0;0.02;671984600.0;3.281;479415528.0;0.71;13159.0;0.064;456718477.0;0.6797;25442002.0;0.0379;204.825717;0.985;0.208049079
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1307849.0;0.0166;78984372.0;366.08;65.0;0.301;3.0;0.014;676824271.0;3.137;473952250.0;0.7;13165.0;0.061;472508621.0;0.6981;22766166.0;0.0336;215.757263;1.018;0.212020289
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1248088.0;0.0158;78751271.0;365.24;64.0;0.297;3.0;0.014;681569871.0;3.161;474323706.0;0.7;13170.0;0.061;462515682.0;0.6786;24726386.0;0.0363;215.615063;1.017;0.212037113
"./build/Benchmark/dxexmachina_devstone opdevs -c 2  -w 10 -d 10 -t 500000";"dxexmachina_devstone";"opdevs";2;10;10;500000;1516373.0;0.0196;77303722.0;362.188;69.0;0.323;3.0;0.014;701125188.0;3.285;469371020.0;0.67;13166.0;0.062;455541606.0;0.6496999999999999;27145537.0;0.0387;213.435289;1.011;0.21110774
