 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (49.93%))";"branches";"branches (M/sec                    (50.15%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (49.80%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.22%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.09%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2228967.0;0.0316;70525840.0;125.979;56.0;0.1;0.0;0.0;1993098163.0;3.56;2679528740.0;1.34;515.0;0.92;935994100.0;0.4696;23464290.0;0.0118;559.823015;1.0;0.559904706
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2300550.0;0.0325;70883774.0;127.437;57.0;0.102;0.0;0.0;1988211703.0;3.574;2681981499.0;1.35;519.0;0.933;937339850.0;0.4714;23639396.0;0.011899999999999999;556.224737;0.999;0.55652008
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2287429.0;0.0325;70387466.0;126.032;57.0;0.102;0.0;0.0;1998882007.0;3.579;2670238480.0;1.34;517.0;0.926;940109045.0;0.4703;23641560.0;0.0118;558.488078;1.0;0.558709766
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2285052.0;0.032400000000000005;70475582.0;126.39;56.0;0.1;0.0;0.0;1996329297.0;3.58;2673366234.0;1.34;518.0;0.929;933108167.0;0.46740000000000004;23839192.0;0.011899999999999999;557.605831;1.0;0.557817574
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2141981.0;0.0301;71265721.0;127.98;57.0;0.102;0.0;0.0;1989898507.0;3.573;2685452991.0;1.35;518.0;0.93;936784323.0;0.4708;21151683.0;0.0106;556.850593;1.0;0.557073498
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2292442.0;0.0323;70990504.0;127.429;56.0;0.101;0.0;0.0;1991160844.0;3.574;2683484941.0;1.35;516.0;0.926;933255647.0;0.46869999999999995;23089368.0;0.0116;557.098772;1.0;0.557269515
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2243606.0;0.0317;70811533.0;127.09;57.0;0.102;0.0;0.0;1997226759.0;3.585;2680297924.0;1.34;519.0;0.931;942980792.0;0.4721;23154334.0;0.0116;557.178312;1.0;0.557007858
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2268871.0;0.0319;71108186.0;127.539;56.0;0.1;0.0;0.0;1994235828.0;3.577;2681364843.0;1.34;518.0;0.929;937040645.0;0.46990000000000004;22681553.0;0.011399999999999999;557.541567;1.0;0.557458059
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2254190.0;0.0319;70636990.0;126.158;58.0;0.104;0.0;0.0;1994003976.0;3.561;2683562083.0;1.35;516.0;0.922;941853869.0;0.47229999999999994;23280673.0;0.011699999999999999;559.90748;1.0;0.560123776
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2270701.0;0.0321;70637604.0;126.436;58.0;0.104;0.0;0.0;1993555821.0;3.568;2667003087.0;1.34;518.0;0.927;935253312.0;0.46909999999999996;23518554.0;0.0118;558.680488;1.0;0.558899789
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2287977.0;0.032400000000000005;70538014.0;126.483;55.0;0.099;0.0;0.0;1996073502.0;3.579;2673230920.0;1.34;518.0;0.929;935234818.0;0.4685;22951163.0;0.0115;557.687911;1.0;0.557576625
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2298194.0;0.0325;70792812.0;126.781;57.0;0.102;0.0;0.0;1995399800.0;3.574;2678138638.0;1.34;516.0;0.924;934408923.0;0.4683;23139879.0;0.0116;558.38594;1.0;0.558554358
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2284190.0;0.032400000000000005;70546999.0;126.392;59.0;0.106;0.0;0.0;1995352717.0;3.575;2677885682.0;1.34;516.0;0.924;935170611.0;0.46869999999999995;23650776.0;0.011899999999999999;558.160322;1.0;0.558357718
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2131940.0;0.03;71175022.0;128.094;57.0;0.103;0.0;0.0;1978550608.0;3.561;2683493172.0;1.36;517.0;0.93;936360221.0;0.4733;21221765.0;0.010700000000000001;555.64824;1.0;0.555833206
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;10.0;1000000;2286584.0;0.0321;71243556.0;128.059;58.0;0.104;0.0;0.0;1996834785.0;3.589;2678913565.0;1.34;519.0;0.933;935828211.0;0.46869999999999995;22824652.0;0.011399999999999999;556.334184;0.999;0.556700914
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;20.0;1000000;2492417.0;0.0322;77326082.0;126.505;62.0;0.101;0.0;0.0;2181200210.0;3.568;2922645368.0;1.34;519.0;0.849;1021001439.0;0.4681;25508199.0;0.011699999999999999;611.247663;1.0;0.611489374
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;90;20.0;1000000;2492685.0;0.0327;76289295.0;125.416;62.0;0.102;0.0;0.0;2181486469.0;3.586;2931910187.0;1.34;520.0;0.855;1028474353.0;0.4715;25720270.0;0.0118;608.290669;1.0;0.608468251
