 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.05%))";"branches";"branches (M/sec                    (50.06%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.03%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (49.98%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (49.97%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;121199626.0;0.0168;7200965563.0;473.042;2080.0;0.137;7.0;0.0;54614650976.0;3.588;37411115874.0;0.69;739.0;0.049;36064140213.0;0.6603;1767269769.0;0.032400000000000005;15222.687022;5.952;2.557554298
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;121893944.0;0.0166;7340469666.0;478.668;2435.0;0.159;9.0;0.001;55084269477.0;3.592;37832966987.0;0.69;740.0;0.048;36361835253.0;0.6601;1753140566.0;0.0318;15335.198755;5.934;2.584309199
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;126605987.0;0.0181;7010129399.0;466.801;2335.0;0.155;8.0;0.001;53864126683.0;3.587;36326654557.0;0.67;738.0;0.049;35788947821.0;0.6644;1716492639.0;0.0319;15017.387518;5.943;2.526846174
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;116720608.0;0.0163;7145854839.0;466.856;2143.0;0.14;11.0;0.001;54934465703.0;3.589;37018577472.0;0.67;741.0;0.048;36664514183.0;0.6674;1684302093.0;0.030699999999999998;15306.345944;5.951;2.571904208
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;132844162.0;0.018600000000000002;7145751759.0;464.065;2220.0;0.144;6.0;0.0;55258358527.0;3.589;36813531745.0;0.67;739.0;0.048;36747266433.0;0.665;1907928799.0;0.0345;15398.175632;5.951;2.587428066
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;141759290.0;0.0202;7029137765.0;461.85;2156.0;0.142;7.0;0.0;54593781449.0;3.587;36439283073.0;0.67;740.0;0.049;36178560456.0;0.6627;1883494545.0;0.0345;15219.527287;5.951;2.557292893
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;115373598.0;0.0167;6926184613.0;470.787;1980.0;0.135;6.0;0.0;52810103232.0;3.59;35844666839.0;0.68;739.0;0.05;35106158758.0;0.6648000000000001;1636851477.0;0.031;14711.92345;5.955;2.470480562
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;116182247.0;0.0169;6876967482.0;469.889;2044.0;0.14;5.0;0.0;52493367772.0;3.587;35650256514.0;0.68;737.0;0.05;34876789798.0;0.6644;1649474019.0;0.031400000000000004;14635.292486;5.951;2.459434619
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;131238478.0;0.0184;7129896413.0;468.344;2170.0;0.143;8.0;0.001;54644580178.0;3.589;36846467599.0;0.67;740.0;0.049;36264358505.0;0.6636;1755677004.0;0.0321;15223.636956;5.953;2.557183546
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;118739624.0;0.0165;7197524687.0;468.661;2180.0;0.142;7.0;0.0;55153713673.0;3.591;37416486354.0;0.68;740.0;0.048;36686121173.0;0.6652;1696772200.0;0.0308;15357.62861;5.957;2.577883348
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;127615323.0;0.0179;7128523264.0;471.998;2173.0;0.144;9.0;0.001;54211511354.0;3.589;36804690852.0;0.68;739.0;0.049;35976294809.0;0.6636;1718152149.0;0.0317;15102.878672;5.947;2.53970005
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;120394879.0;0.0175;6891087999.0;471.062;2001.0;0.137;7.0;0.0;52513315001.0;3.59;35717881977.0;0.68;740.0;0.051;34718088892.0;0.6611;1719249491.0;0.0327;14628.82267;5.953;2.457302422
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;108952947.0;0.0152;7166126720.0;479.051;2086.0;0.139;6.0;0.0;53726988124.0;3.592;37125789141.0;0.69;742.0;0.05;35690256599.0;0.6643000000000001;1536524738.0;0.0286;14958.993634;5.953;2.512996839
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;124773019.0;0.018000000000000002;6936438672.0;471.909;2122.0;0.144;10.0;0.001;52709844116.0;3.586;35937581180.0;0.68;743.0;0.051;34880374707.0;0.6617000000000001;1747593039.0;0.0332;14698.679014;5.95;2.470312533
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;10.0;1000000;120697025.0;0.016;7555024157.0;476.955;2354.0;0.149;9.0;0.001;56883582156.0;3.591;39027423553.0;0.69;738.0;0.047;37755224345.0;0.6637000000000001;1702932082.0;0.029900000000000003;15840.113923;5.937;2.667809883
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;121294979.0;0.0167;7257239670.0;482.568;2184.0;0.145;7.0;0.0;53990263817.0;3.59;37558366970.0;0.7;744.0;0.049;35486284851.0;0.6573;1748918521.0;0.032400000000000005;15038.783948;5.961;2.522755186
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;116161985.0;0.0161;7218278286.0;483.503;2244.0;0.15;10.0;0.001;53583932461.0;3.589;37416536186.0;0.7;743.0;0.05;35273302861.0;0.6583;1647224125.0;0.030699999999999998;14929.141503;5.944;2.511488132
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;125636316.0;0.0168;7475973098.0;470.672;2251.0;0.142;9.0;0.001;57079419213.0;3.594;38905384856.0;0.68;742.0;0.047;37740097111.0;0.6612;1810175714.0;0.0317;15883.622409;5.96;2.664897402
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;150358433.0;0.02;7526109539.0;441.862;2299.0;0.135;9.0;0.001;61102680339.0;3.587;39239558971.0;0.64;743.0;0.044;41322107847.0;0.6762999999999999;1983154187.0;0.0325;17032.708518;5.954;2.860921671
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;132576462.0;0.0178;7461459690.0;472.036;2259.0;0.143;7.0;0.0;56699470603.0;3.587;38607940558.0;0.68;743.0;0.047;37481960974.0;0.6611;1905218399.0;0.0336;15806.985272;5.952;2.655866865
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;146432348.0;0.0192;7617944029.0;455.6;2279.0;0.136;7.0;0.0;60094342549.0;3.594;39490790141.0;0.66;743.0;0.044;40208388464.0;0.6690999999999999;1995081462.0;0.0332;16720.693047;5.961;2.80495446
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;145210874.0;0.0206;7048965701.0;471.104;2186.0;0.146;11.0;0.001;53668993319.0;3.587;36681413782.0;0.68;745.0;0.05;34998891545.0;0.6520999999999999;1914672060.0;0.035699999999999996;14962.649113;5.947;2.516114879
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;128547629.0;0.018000000000000002;7147306757.0;473.505;2215.0;0.147;7.0;0.0;54104630142.0;3.584;37259470329.0;0.69;747.0;0.049;35565255586.0;0.6573;1788582286.0;0.0331;15094.473766;5.962;2.531772817
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;123261846.0;0.0165;7453960208.0;478.172;2307.0;0.148;8.0;0.001;55973893064.0;3.591;38763785044.0;0.69;742.0;0.048;36884200074.0;0.659;1777622065.0;0.0318;15588.440953;5.964;2.613780978
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;117979915.0;0.0159;7414255774.0;474.066;2311.0;0.148;6.0;0.0;56130340636.0;3.589;38497537010.0;0.69;743.0;0.048;37255253048.0;0.6637000000000001;1698837460.0;0.030299999999999997;15639.717749;5.956;2.625690164
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;148855262.0;0.0206;7236489119.0;463.142;2369.0;0.152;9.0;0.001;56091697515.0;3.59;37627053025.0;0.67;745.0;0.048;36993686133.0;0.6595;1975383968.0;0.0352;15624.766938;5.952;2.62525396
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;129348347.0;0.018000000000000002;7205248932.0;476.522;2281.0;0.151;11.0;0.001;54307655539.0;3.592;37407560700.0;0.69;743.0;0.049;35699600188.0;0.6574;1807073289.0;0.0333;15120.504282;5.962;2.536035855
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.2 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;90;20.0;1000000;132048004.0;0.0179;7370581883.0;477.482;2373.0;0.154;8.0;0.001;55369680999.0;3.587;38265707387.0;0.69;747.0;0.048;36500558598.0;0.6592;1766614583.0;0.0319;15436.368405;5.948;2.595297665
