 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.47%))";"branches";"branches (M/sec                    (50.19%))";"context-switches";"context-switches (M/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.18%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (49.81%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.01%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;90;10.0;1000000;16092870.0;0.0253;635697357.0;204.239;11583.0;0.004;189.0;0.061;10852267299.0;3.487;8968447437.0;0.83;57198.0;0.018;6612051519.0;0.6093;527807142.0;0.048600000000000004;3112.523067;5.329;0.584047538
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;90;10.0;1000000;16291211.0;0.0259;628014709.0;204.002;12150.0;0.004;29.0;0.009;10804283643.0;3.51;8891701002.0;0.82;57285.0;0.019;6575327403.0;0.6086;531189588.0;0.0492;3078.466232;5.358;0.574521405
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;90;10.0;1000000;16679673.0;0.0262;636536192.0;204.917;12262.0;0.004;176.0;0.057;10875215906.0;3.501;8946834162.0;0.82;57265.0;0.018;6589540441.0;0.6059;513947995.0;0.0473;3106.311035;5.317;0.584247343
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;90;10.0;1000000;16666617.0;0.026600000000000002;625691865.0;200.647;12074.0;0.004;372.0;0.119;10920159400.0;3.502;8879414529.0;0.81;57228.0;0.018;6635108760.0;0.6076;528613649.0;0.0484;3118.367718;5.327;0.585389149
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;90;10.0;1000000;16067149.0;0.0255;630473551.0;205.121;11750.0;0.004;73.0;0.024;10740086425.0;3.494;8945095709.0;0.83;57241.0;0.019;6507318969.0;0.6059;518087949.0;0.0482;3073.668463;5.358;0.57364421
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;90;10.0;1000000;16532403.0;0.025699999999999997;644424653.0;203.676;12172.0;0.004;28.0;0.009;11075146209.0;3.5;9041878809.0;0.82;57259.0;0.018;6760727298.0;0.6103999999999999;554904151.0;0.0501;3163.971475;5.319;0.594859975
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;90;10.0;1000000;16522811.0;0.0259;638311181.0;205.017;12357.0;0.004;45.0;0.014;10937061332.0;3.513;9016544554.0;0.82;57236.0;0.018;6608116582.0;0.6042000000000001;519017323.0;0.0475;3113.460389;5.312;0.586152947
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;90;10.0;1000000;15656262.0;0.0241;648397989.0;204.286;12122.0;0.004;38.0;0.012;11159700249.0;3.516;9019573115.0;0.81;57300.0;0.018;6814975461.0;0.6107;530221079.0;0.0475;3173.970062;5.349;0.593415576
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;90;10.0;1000000;16460875.0;0.025699999999999997;639732003.0;202.235;11720.0;0.004;53.0;0.017;11028427698.0;3.486;9008621048.0;0.82;57285.0;0.018;6742151474.0;0.6113000000000001;546383878.0;0.0495;3163.305135;5.32;0.594615773
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 90 -p 0.1 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;90;10.0;1000000;18453430.0;0.0287;643060652.0;204.832;12207.0;0.004;46.0;0.015;11038536582.0;3.516;9002935779.0;0.82;57367.0;0.018;6704636237.0;0.6074;537620833.0;0.0487;3139.448562;5.356;0.586116356
