 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.07%))";"branches";"branches (M/sec                    (50.17%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.01%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.01%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.00%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2145981.0;0.031400000000000004;68286766.0;126.079;56.0;0.103;0.0;0.0;1929384182.0;3.562;2590097616.0;1.34;514.0;0.949;907127114.0;0.4702;22156564.0;0.0115;541.617939;1.0;0.541876116
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2138232.0;0.0311;68737312.0;126.634;54.0;0.099;0.0;0.0;1927546954.0;3.551;2593447028.0;1.35;518.0;0.954;908107226.0;0.4711;22366149.0;0.0116;542.804495;1.0;0.543054546
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2144289.0;0.0311;68949622.0;127.177;56.0;0.103;0.0;0.0;1929888351.0;3.56;2591869751.0;1.34;518.0;0.955;910156437.0;0.47159999999999996;21770342.0;0.0113;542.153845;1.0;0.542344985
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2150538.0;0.031400000000000004;68591427.0;126.916;54.0;0.1;0.0;0.0;1924542821.0;3.561;2592104256.0;1.35;519.0;0.96;900085573.0;0.4677;22190489.0;0.0115;540.445512;0.999;0.540722436
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2149250.0;0.0315;68136805.0;126.237;57.0;0.106;0.0;0.0;1925108772.0;3.567;2591814910.0;1.35;517.0;0.958;903817930.0;0.46950000000000003;22595847.0;0.011699999999999999;539.754123;0.999;0.540189927
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2177553.0;0.0317;68775002.0;127.783;56.0;0.104;0.0;0.0;1913517729.0;3.555;2599973264.0;1.36;517.0;0.961;904156919.0;0.4725;21826174.0;0.011399999999999999;538.215402;1.0;0.538455248
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2140347.0;0.0313;68465295.0;126.394;55.0;0.102;0.0;0.0;1928639274.0;3.56;2600276136.0;1.35;514.0;0.949;910372229.0;0.47200000000000003;22121318.0;0.0115;541.680836;1.0;0.541857075
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2034740.0;0.029500000000000002;68918362.0;127.806;54.0;0.1;0.0;0.0;1927202912.0;3.574;2594346199.0;1.35;517.0;0.959;905856524.0;0.47;19854213.0;0.0103;539.243643;1.0;0.539383248
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2140035.0;0.0313;68455066.0;126.354;54.0;0.1;0.0;0.0;1928992900.0;3.561;2598900526.0;1.35;519.0;0.958;910376493.0;0.4719;22152252.0;0.0115;541.771495;1.0;0.541980116
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;10;0.0;1000000;2127069.0;0.031;68561604.0;126.736;55.0;0.102;0.0;0.0;1927700551.0;3.563;2587836911.0;1.34;518.0;0.958;908386302.0;0.47119999999999995;22133130.0;0.0115;540.979989;1.0;0.541131221
