 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.01%))";"branches";"branches (M/sec                    (50.00%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.01%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.03%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.03%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;10;0.0;1000000;121233576.0;0.0187;6483437912.0;467.557;1804.0;0.13;11.0;0.001;49709178929.0;3.585;33586744791.0;0.68;732.0;0.053;32959204422.0;0.6629999999999999;1597499206.0;0.0321;13866.63613;5.946;2.332166884
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;10;0.0;1000000;124747301.0;0.019299999999999998;6467725169.0;466.391;1783.0;0.129;6.0;0.0;49811218030.0;3.592;33556683135.0;0.67;735.0;0.053;32869122419.0;0.6598999999999999;1674685862.0;0.0336;13867.590353;5.956;2.328516222
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;10;0.0;1000000;111182088.0;0.0167;6648304674.0;470.408;1950.0;0.138;6.0;0.0;50792587350.0;3.594;34484825255.0;0.68;732.0;0.052;33725476744.0;0.664;1554143672.0;0.030600000000000002;14133.054274;5.961;2.370789145
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;10;0.0;1000000;113573493.0;0.0171;6649251854.0;452.759;1996.0;0.136;6.0;0.0;52701764403.0;3.589;34418205323.0;0.65;734.0;0.05;35584800719.0;0.6751999999999999;1592008711.0;0.0302;14686.081597;5.953;2.466827145
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;10;0.0;1000000;112387551.0;0.0172;6543759244.0;466.84;1755.0;0.125;9.0;0.001;50264742840.0;3.586;33939641165.0;0.68;735.0;0.052;33486900224.0;0.6662;1616230852.0;0.0322;14017.120207;5.948;2.356443547
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;10;0.0;1000000;126347945.0;0.0182;6932979095.0;481.167;2116.0;0.147;9.0;0.001;51762847083.0;3.592;35833806110.0;0.69;735.0;0.051;33741870934.0;0.6518999999999999;1823363839.0;0.0352;14408.681767;5.923;2.432538746
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;10;0.0;1000000;124737690.0;0.0189;6612135284.0;465.058;2210.0;0.155;6.0;0.0;50999091981.0;3.587;34283995991.0;0.67;733.0;0.052;33629744845.0;0.6594;1802909538.0;0.0354;14217.883922;5.936;2.395112441
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;10;0.0;1000000;135437242.0;0.0207;6556219028.0;462.079;1916.0;0.135;6.0;0.0;50946760159.0;3.591;34143477798.0;0.67;733.0;0.052;33512338093.0;0.6578;1806790876.0;0.0355;14188.51318;5.955;2.382450088
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;10;0.0;1000000;121404702.0;0.0184;6600112371.0;471.914;1981.0;0.142;8.0;0.001;50186179046.0;3.588;34124171736.0;0.68;735.0;0.053;33077285722.0;0.6591;1748229452.0;0.0348;13985.831636;5.948;2.351359297
"./build/Benchmark/dxexmachina_phold cpdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"cpdevs";6;6;4;0;10;0.0;1000000;120687761.0;0.0181;6674892862.0;469.324;1878.0;0.132;8.0;0.001;51037597669.0;3.589;34708851917.0;0.68;733.0;0.052;33698230534.0;0.6603;1744796055.0;0.0342;14222.358972;5.945;2.392327072
