 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.56%))";"branches";"branches (M/sec                    (50.12%))";"context-switches";"context-switches (M/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.10%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (49.79%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.35%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;10;0.0;1000000;5790616.0;0.0199;290684972.0;195.424;6770.0;0.005;27.0;0.018;5014896391.0;3.371;4967002989.0;0.99;49879.0;0.034;2815414676.0;0.5614;232526965.0;0.0464;1487.460819;4.886;0.304406754
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;10;0.0;1000000;6014689.0;0.0208;288760938.0;191.8;6895.0;0.005;21.0;0.014;5094101574.0;3.384;4897045675.0;0.96;49885.0;0.033;2872090151.0;0.5638000000000001;234641684.0;0.0461;1505.531659;4.909;0.306716607
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;10;0.0;1000000;6148257.0;0.021099999999999997;291798770.0;192.325;7085.0;0.005;16.0;0.011;5136060903.0;3.385;4980183345.0;0.97;50126.0;0.033;2887487660.0;0.5622;222821573.0;0.0434;1517.220397;4.87;0.311530924
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;10;0.0;1000000;6199991.0;0.0213;290690092.0;192.509;7152.0;0.005;39.0;0.026;5112800477.0;3.386;4923640162.0;0.96;49920.0;0.033;2891180008.0;0.5655;230373528.0;0.0451;1510.007415;4.929;0.306361824
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;10;0.0;1000000;6368302.0;0.022099999999999998;287557598.0;191.034;6967.0;0.005;30.0;0.02;5096203855.0;3.386;4899163415.0;0.96;49837.0;0.033;2891149769.0;0.5672999999999999;238187464.0;0.0467;1505.269846;4.867;0.309294583
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;10;0.0;1000000;6704982.0;0.0232;288617276.0;190.066;6757.0;0.004;115.0;0.076;5174231264.0;3.407;4896480874.0;0.95;49868.0;0.033;2903550300.0;0.5611999999999999;244611260.0;0.0473;1518.512785;4.903;0.30971217
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;10;0.0;1000000;6606916.0;0.0227;290622914.0;189.67;6826.0;0.004;21.0;0.014;5227958109.0;3.412;4931751865.0;0.94;50045.0;0.033;2950470623.0;0.5644;235928468.0;0.0451;1532.255125;4.95;0.309570533
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;10;0.0;1000000;6001137.0;0.02;300695829.0;195.751;7085.0;0.005;52.0;0.034;5150034344.0;3.353;5015893057.0;0.97;50087.0;0.033;2939723168.0;0.5708;228199197.0;0.0443;1536.111304;4.824;0.318408433
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;10;0.0;1000000;6178363.0;0.0212;291313576.0;192.448;6969.0;0.005;350.0;0.231;5125248561.0;3.386;4956278661.0;0.97;49993.0;0.033;2913047772.0;0.5684;231397281.0;0.0451;1513.728079;4.855;0.311760754
"./build/Benchmark/dxexmachina_phold opdevs -c 6 -n 6 -s 4 -i 0 -r 10 -p 0.0 -t 1000000";"dxexmachina_phold";"opdevs";6;6;4;0;10;0.0;1000000;6736674.0;0.0235;286435800.0;190.315;6967.0;0.005;40.0;0.027;5060013012.0;3.362;4934363652.0;0.98;50000.0;0.033;2855894520.0;0.5644;235084483.0;0.04650000000000001;1505.059903;4.874;0.308791701
