 "command";"executable";"width";"end time" ;"branch-misses";"branch-misses (of all branches          (85.44%))";"branches";"branches (M/sec                    (86.37%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (M/sec)";"cycles";"cycles (GHz                      (85.47%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (70.95%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (84.95%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_interconnect classic  -w 2 -t 4000000";"dxexmachina_interconnect";2;4000000;4697293.0;0.0147;318895331.0;569.745;124.0;0.222;8019.0;0.014;1391864741.0;2.487;1357956393.0;0.98;133.0;0.238;426428405.0;0.3064;715721075.0;0.5142;559.715553;1.112;0.503552297
"./build/Benchmark/dxexmachina_interconnect classic  -w 2 -t 4000000";"dxexmachina_interconnect";2;4000000;4763278.0;0.0149;318855209.0;583.946;77.0;0.141;8040.0;0.015;1399497678.0;2.563;1376276192.0;0.98;132.0;0.242;423746026.0;0.3028;711781859.0;0.5085999999999999;546.035525;1.121;0.48710553
"./build/Benchmark/dxexmachina_interconnect classic  -w 2 -t 4000000";"dxexmachina_interconnect";2;4000000;4802664.0;0.0151;318053517.0;607.444;87.0;0.166;8042.0;0.015;1386876468.0;2.649;1352489680.0;0.98;136.0;0.26;412404054.0;0.2974;692018062.0;0.499;523.593067;1.121;0.467003577
"./build/Benchmark/dxexmachina_interconnect classic  -w 2 -t 4000000";"dxexmachina_interconnect";2;4000000;4224053.0;0.0134;314566193.0;560.284;91.0;0.162;8042.0;0.014;1372983913.0;2.445;1346042523.0;0.98;134.0;0.239;408309329.0;0.2974;694922163.0;0.5061;561.440444;1.119;0.501563448
"./build/Benchmark/dxexmachina_interconnect classic  -w 2 -t 4000000";"dxexmachina_interconnect";2;4000000;5177991.0;0.016200000000000003;319509914.0;581.149;66.0;0.12;8051.0;0.015;1372325619.0;2.496;1368188944.0;1.0;132.0;0.24;421902289.0;0.3074;709605799.0;0.5171;549.789751;1.126;0.488412265
"./build/Benchmark/dxexmachina_interconnect classic  -w 2 -t 4000000";"dxexmachina_interconnect";2;4000000;4569131.0;0.0143;319611836.0;623.394;73.0;0.142;8023.0;0.016;1372976229.0;2.678;1346019978.0;0.98;130.0;0.254;402615474.0;0.2932;698069771.0;0.5084000000000001;512.696286;1.121;0.45730448
"./build/Benchmark/dxexmachina_interconnect classic  -w 2 -t 4000000";"dxexmachina_interconnect";2;4000000;4776350.0;0.015300000000000001;312646951.0;577.8;87.0;0.161;8070.0;0.015;1350602774.0;2.496;1341986350.0;0.99;132.0;0.244;422126566.0;0.3125;709260509.0;0.5251;541.098483;1.123;0.48173771
"./build/Benchmark/dxexmachina_interconnect classic  -w 2 -t 4000000";"dxexmachina_interconnect";2;4000000;5243371.0;0.0165;317080291.0;623.626;77.0;0.151;8003.0;0.016;1373437216.0;2.701;1351234392.0;0.98;135.0;0.266;406705599.0;0.2961;685778154.0;0.4993;508.44587;1.105;0.460217857
"./build/Benchmark/dxexmachina_interconnect classic  -w 2 -t 4000000";"dxexmachina_interconnect";2;4000000;5304410.0;0.0167;318301320.0;611.559;84.0;0.161;8011.0;0.015;1388736735.0;2.668;1356368068.0;0.98;134.0;0.257;416806680.0;0.30010000000000003;699355672.0;0.5036;520.475089;1.109;0.469488574
"./build/Benchmark/dxexmachina_interconnect classic  -w 2 -t 4000000";"dxexmachina_interconnect";2;4000000;4956693.0;0.015700000000000002;315945800.0;584.896;77.0;0.143;8049.0;0.015;1396119058.0;2.585;1346363703.0;0.96;134.0;0.248;417624516.0;0.2991;710358348.0;0.5088;540.174767;1.123;0.48080417
