 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (86.41%))";"branches";"branches (M/sec                    (85.84%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (M/sec)";"cycles";"cycles (GHz                      (87.41%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (70.61%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (84.64%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7376081.0;0.018799999999999997;392021709.0;562.052;127.0;0.182;8012.0;0.011;1660480128.0;2.381;1659829672.0;1.0;137.0;0.196;486511885.0;0.293;800741697.0;0.48219999999999996;697.482837;1.099;0.634565868
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7165491.0;0.0183;391182488.0;596.351;67.0;0.102;8073.0;0.012;1624912480.0;2.477;1642766848.0;1.01;133.0;0.203;462068632.0;0.2844;782525791.0;0.4816;655.960681;1.112;0.58980898
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7394107.0;0.018799999999999997;392372387.0;611.968;77.0;0.12;8030.0;0.013;1620040869.0;2.527;1643493512.0;1.01;137.0;0.214;455996489.0;0.2815;775428943.0;0.47859999999999997;641.164429;1.096;0.584781062
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7109472.0;0.0183;387663399.0;517.692;104.0;0.139;8041.0;0.011;1659193319.0;2.216;1626080397.0;0.98;136.0;0.182;489810020.0;0.2952;802447496.0;0.4836;748.829594;1.097;0.68275818
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7389930.0;0.019299999999999998;383479259.0;514.14;83.0;0.111;8087.0;0.011;1606980291.0;2.155;1607129797.0;1.0;134.0;0.18;464042756.0;0.2888;773523616.0;0.4814;745.866025;1.113;0.669858964
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7034754.0;0.0181;387915132.0;544.876;62.0;0.087;8080.0;0.011;1583443598.0;2.224;1610268224.0;1.02;131.0;0.184;465025063.0;0.2937;786806257.0;0.49689999999999995;711.932677;1.113;0.639848307
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7001041.0;0.0183;382400577.0;468.521;61.0;0.075;8098.0;0.01;1630214704.0;1.997;1594047616.0;0.98;136.0;0.167;469986085.0;0.2883;803730445.0;0.493;816.186458;1.114;0.732340501
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7271341.0;0.0187;388833842.0;580.629;75.0;0.112;8047.0;0.012;1627620973.0;2.43;1617029701.0;0.99;132.0;0.197;461087877.0;0.2833;780811923.0;0.4797;669.677061;1.107;0.60487419
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7064955.0;0.0182;388543151.0;603.233;77.0;0.12;8064.0;0.013;1613330070.0;2.505;1640426689.0;1.02;134.0;0.208;452424730.0;0.2804;772387140.0;0.4788;644.100951;1.111;0.579886886
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7269142.0;0.0187;389418002.0;505.921;61.0;0.079;8081.0;0.01;1634855644.0;2.124;1621984143.0;0.99;137.0;0.178;466270274.0;0.2852;790836071.0;0.48369999999999996;769.720923;1.118;0.688753864
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;6980077.0;0.018000000000000002;386949406.0;634.321;67.0;0.11;8080.0;0.013;1602535429.0;2.627;1629979696.0;1.02;132.0;0.216;453899604.0;0.2832;748603381.0;0.4671;610.021563;1.108;0.55080007
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7142327.0;0.018600000000000002;384407689.0;575.58;59.0;0.088;8081.0;0.012;1614586336.0;2.418;1611040993.0;1.0;132.0;0.198;457581475.0;0.2834;768189853.0;0.4758;667.861008;1.109;0.602304648
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7023953.0;0.018000000000000002;389193791.0;631.256;88.0;0.143;8081.0;0.013;1622532595.0;2.632;1601561337.0;0.99;137.0;0.222;455041992.0;0.2805;784208600.0;0.4833;616.538873;1.112;0.554357752
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7013728.0;0.0182;384829575.0;568.926;88.0;0.13;8076.0;0.012;1620609634.0;2.396;1596666409.0;0.99;134.0;0.198;458558163.0;0.28300000000000003;780098332.0;0.4814;676.414291;1.109;0.609842851
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;6952995.0;0.0183;380928601.0;557.537;69.0;0.101;8102.0;0.012;1599900313.0;2.342;1626734169.0;1.02;137.0;0.201;443613852.0;0.2773;739073376.0;0.4619;683.234404;1.117;0.611420025
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;6768567.0;0.018000000000000002;376947825.0;500.363;73.0;0.097;8102.0;0.011;1620960588.0;2.152;1590423431.0;0.98;135.0;0.179;464280798.0;0.2864;789578523.0;0.48710000000000003;753.34944;1.115;0.675699629
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7157872.0;0.0183;391885801.0;502.438;75.0;0.096;8098.0;0.01;1616583632.0;2.073;1609644271.0;1.0;138.0;0.177;454972974.0;0.2814;786120545.0;0.4863;779.969156;1.121;0.695491734
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7064604.0;0.018000000000000002;391426607.0;629.869;70.0;0.113;8069.0;0.013;1615881887.0;2.6;1651154922.0;1.02;136.0;0.219;446475673.0;0.2763;771703884.0;0.47759999999999997;621.441111;1.109;0.560460622
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7202515.0;0.0184;390606669.0;597.049;76.0;0.116;8057.0;0.012;1638857110.0;2.505;1630463474.0;0.99;132.0;0.202;451762875.0;0.2757;778996889.0;0.4753;654.228641;1.114;0.587489157
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;6891006.0;0.0177;389885329.0;576.636;100.0;0.148;8056.0;0.012;1617150938.0;2.392;1617242742.0;1.0;133.0;0.197;469291806.0;0.2902;777394471.0;0.4807;676.137527;1.094;0.61786641
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7621183.0;0.0197;387227607.0;613.462;100.0;0.158;8016.0;0.013;1645788097.0;2.607;1641430790.0;1.0;136.0;0.215;477622110.0;0.2902;796444591.0;0.4839;631.217253;1.1;0.573733677
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;6666389.0;0.0173;384551977.0;516.996;68.0;0.091;8080.0;0.011;1631653998.0;2.194;1624472350.0;1.0;135.0;0.181;481015267.0;0.2948;797367141.0;0.48869999999999997;743.819455;1.111;0.669402581
"./build/Benchmark/dxexmachina_devstone classic  -w 2 -d 1 -t 4000000";"dxexmachina_devstone";2;1;4000000;7086258.0;0.0183;387137780.0;638.449;70.0;0.115;8055.0;0.013;1611369481.0;2.657;1613836332.0;1.0;136.0;0.224;450023985.0;0.2793;766556769.0;0.4757;606.372433;1.103;0.549783606
