 "command";"executable";"nodes";"atomics/node";"iterations";"% remotes";"end time" ;"branch-misses";"branch-misses (of all branches          (85.82%))";"branches";"branches (M/sec                    (85.77%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (M/sec)";"cycles";"cycles (GHz                      (85.56%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (70.31%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (85.47%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9946873.0;0.0132;751398914.0;500.614;175.0;0.117;16361.0;0.011;3370501987.0;2.246;4074584448.0;1.21;139.0;0.093;899260855.0;0.2668;1600236254.0;0.47479999999999994;1500.953375;1.11;1.352636143
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9783631.0;0.0129;758775752.0;531.676;212.0;0.149;16413.0;0.012;3324795180.0;2.33;4062072506.0;1.22;141.0;0.099;882315346.0;0.26539999999999997;1568204209.0;0.4717;1427.138828;1.106;1.289979499
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10532136.0;0.013999999999999999;751592196.0;559.527;192.0;0.143;16385.0;0.012;3397659808.0;2.529;4069723254.0;1.2;139.0;0.103;956204237.0;0.2814;1644702943.0;0.4841;1343.263039;1.102;1.218769133
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;11487818.0;0.015;765610788.0;600.784;195.0;0.153;16287.0;0.013;3463426173.0;2.718;4159181564.0;1.2;142.0;0.111;960006187.0;0.2772;1642028390.0;0.47409999999999997;1274.352751;1.097;1.162049581
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9233151.0;0.0123;753279461.0;544.338;207.0;0.15;16335.0;0.012;3295517044.0;2.381;4050697633.0;1.23;142.0;0.103;885147164.0;0.2686;1564950476.0;0.47490000000000004;1383.844609;1.1;1.257979237
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9437183.0;0.0124;760880115.0;586.544;152.0;0.117;16322.0;0.013;3317029212.0;2.557;4113310375.0;1.24;137.0;0.106;872771639.0;0.2631;1556587603.0;0.4693;1297.225072;1.11;1.168742883
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10291748.0;0.013600000000000001;756414312.0;567.634;135.0;0.101;16378.0;0.012;3364504427.0;2.525;4096820769.0;1.22;139.0;0.104;899402391.0;0.2673;1581273787.0;0.47;1332.574748;1.11;1.2004504
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10330635.0;0.013500000000000002;763868902.0;516.967;182.0;0.123;16284.0;0.011;3410904657.0;2.308;4125450311.0;1.21;144.0;0.097;922341401.0;0.2704;1625994802.0;0.4767;1477.596966;1.101;1.341856629
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9381206.0;0.0123;764521004.0;612.252;205.0;0.164;16274.0;0.013;3396593024.0;2.72;4108846658.0;1.21;138.0;0.111;925165252.0;0.2724;1615336091.0;0.4756;1248.703958;1.099;1.135831072
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10538367.0;0.0138;763290709.0;603.751;164.0;0.13;16325.0;0.013;3374347170.0;2.669;4112166944.0;1.22;142.0;0.112;900910085.0;0.267;1573514061.0;0.46630000000000005;1264.24756;1.108;1.141427871
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10041368.0;0.013300000000000001;754394193.0;571.28;186.0;0.141;16316.0;0.012;3334594748.0;2.525;4069807987.0;1.22;142.0;0.108;900386631.0;0.27;1593191085.0;0.4778;1320.532225;1.1;1.200845621
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10466743.0;0.0139;753749199.0;536.496;133.0;0.095;16417.0;0.012;3350207250.0;2.385;3982840632.0;1.19;142.0;0.101;886765989.0;0.2647;1596640400.0;0.47659999999999997;1404.948916;1.107;1.268670755
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;10589559.0;0.013999999999999999;757730811.0;617.117;232.0;0.189;16255.0;0.013;3382059178.0;2.754;4091298037.0;1.21;143.0;0.116;911880491.0;0.2696;1598035284.0;0.4725;1227.856427;1.093;1.12384914
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9783982.0;0.0129;756779478.0;538.442;213.0;0.152;16318.0;0.012;3452031289.0;2.456;4058443984.0;1.18;142.0;0.101;993102537.0;0.2877;1722901359.0;0.4991;1405.498273;1.097;1.280877856
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9647182.0;0.0126;762922537.0;625.566;209.0;0.171;16250.0;0.013;3352634520.0;2.749;4110787290.0;1.23;142.0;0.116;898425356.0;0.268;1574112504.0;0.46950000000000003;1219.572473;1.093;1.116150277
"./build/Benchmark/dxexmachina_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"dxexmachina_phold";2;2;16;10;4000000;9890183.0;0.0132;751537799.0;594.985;234.0;0.185;16292.0;0.013;3329859893.0;2.636;4066433297.0;1.22;142.0;0.112;893557435.0;0.2683;1570991127.0;0.4718;1263.12015;1.096;1.152399753
